"CD_MUN";"NM_MUN";"V00001";"V00002";"V00003";"V00004";"V00005";"V00006";"V00007";"V00008";"V00009";"V00010";"V00011";"V00012";"V00013";"V00014";"V00015";"V00016";"V00017";"V00018";"V00019";"V00020";"V00021";"V00022";"V00023";"V00024";"V00025";"V00026";"V00027";"V00028";"V00029";"V00030";"V00031";"V00032";"V00033";"V00034";"V00035";"V00036";"V00037";"V00038";"V00039";"V00040";"V00041";"V00042";"V00043";"V00044";"V00045";"V00046";"V00047";"V00048";"V00049";"V00050";"V00051";"V00052";"V00053";"V00054";"V00055";"V00056";"V00057";"V00058";"V00059";"V00060";"V00061";"V00062";"V00063";"V00064";"V00065";"V00066";"V00067";"V00068";"V00069";"V00070";"V00071";"V00072";"V00073";"V00074";"V00075";"V00076";"V00077";"V00078";"V00079";"V00080";"V00081";"V00082";"V00083";"V00084";"V00085";"V00086";"V00087";"V00088";"V00089"
"1100015";"Alta Floresta D'Oeste";"7668";"0";"5";"7668";"21331";"0";"5";"3062";"0";"0";"10738";"0";"0";"10593";"0";"3";"1177";"2398";"1998";"1395";"451";"89";"20";"0";"0";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7647";"0";"9";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"21331";"3062";"10738";"10593";"1177";"2398";"1998";"1395";"451";"89";"20";"0";"0";"6";"21284";"18";"22";"3056";"0";"0"
"1100023";"Ariquemes";"34760";"0";"61";"34760";"96139";"13";"89";"14136";"0";"7";"47372";"0";"76";"48767";"3";"9";"6368";"10132";"8689";"6086";"2382";"642";"100";"15";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"59";"0";"0";"0";"0";"0";"0";"0";"0";"0";"31013";"1537";"2146";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9";"27";"0";"0";"0";"0";"0";"0";"24";"0";"96139";"14136";"47372";"48767";"6368";"10132";"8689";"6086";"2382";"642";"100";"15";"0";"3";"88266";"3446";"4365";"12944";"487";"638"
"1100031";"Cabixi";"1963";"0";"0";"1963";"5335";"0";"0";"679";"0";"0";"2696";"0";"0";"2639";"0";"0";"294";"682";"485";"335";"108";"20";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1959";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5335";"679";"2696";"2639";"294";"682";"485";"335";"108";"20";"0";"0";"0";"0";"5328";"0";"5";"679";"0";"0"
"1100049";"Cacoal";"31892";"3";"12";"31892";"86355";"18";"23";"11582";"0";"0";"42127";"3";"11";"44228";"3";"7";"5841";"9957";"7785";"5537";"1876";"467";"63";"9";"3";"10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"29090";"214";"2497";"25";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"8";"0";"0";"0";"0";"0";"0";"86355";"11582";"42127";"44228";"5841";"9957";"7785";"5537";"1876";"467";"63";"9";"3";"10";"81192";"589";"4465";"11099";"77";"348"
"1100056";"Cerejeiras";"5871";"0";"3";"5871";"15792";"5";"3";"2311";"0";"0";"7776";"0";"0";"8016";"3";"0";"1007";"1892";"1492";"1035";"333";"52";"13";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5800";"7";"49";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"15792";"2311";"7776";"8016";"1007";"1892";"1492";"1035";"333";"52";"13";"0";"0";"0";"15643";"19";"115";"2289";"4";"13"
"1100064";"Colorado do Oeste";"5991";"0";"0";"5991";"15663";"0";"0";"2037";"0";"0";"7801";"0";"0";"7862";"0";"0";"1116";"2048";"1417";"992";"302";"41";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5919";"15";"41";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"15663";"2037";"7801";"7862";"1116";"2048";"1417";"992";"302";"41";"0";"0";"0";"0";"15543";"31";"74";"2023";"0";"3"
"1100072";"Corumbiara";"2835";"0";"8";"2835";"7487";"4";"10";"1049";"0";"0";"3897";"3";"5";"3590";"0";"3";"486";"1005";"688";"450";"134";"45";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2823";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"7487";"1049";"3897";"3590";"486";"1005";"688";"450";"134";"45";"0";"0";"0";"0";"7464";"4";"9";"1046";"0";"0"
"1100080";"Costa Marques";"4158";"0";"8";"4158";"12518";"5";"18";"2096";"0";"0";"6450";"0";"4";"6068";"3";"9";"665";"1122";"952";"787";"370";"147";"43";"17";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4142";"0";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"12518";"2096";"6450";"6068";"665";"1122";"952";"787";"370";"147";"43";"17";"3";"0";"12481";"9";"24";"2090";"0";"0"
"1100098";"Espigão D'Oeste";"10446";"0";"65";"10446";"29221";"13";"65";"4214";"0";"0";"14639";"9";"58";"14582";"0";"7";"1640";"3160";"2735";"1924";"647";"155";"35";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"65";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10254";"21";"156";"0";"0";"0";"0";"0";"0";"0";"0";"0";"36";"0";"0";"0";"0";"0";"0";"29";"0";"0";"0";"29221";"4214";"14639";"14582";"1640";"3160";"2735";"1924";"647";"155";"35";"3";"0";"0";"28854";"50";"302";"4172";"3";"30"
"1100106";"Guajará-Mirim";"11765";"0";"78";"11765";"38805";"25";"97";"6846";"0";"4";"19273";"10";"55";"19532";"6";"35";"1717";"2788";"2666";"2050";"1141";"556";"275";"92";"58";"63";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"69";"0";"0";"0";"0";"0";"0";"0";"0";"0";"11289";"209";"227";"3";"3";"3";"0";"0";"0";"0";"0";"0";"19";"16";"0";"18";"23";"0";"0";"0";"0";"0";"0";"38805";"6846";"19273";"19532";"1717";"2788";"2666";"2050";"1141";"556";"275";"92";"58";"63";"37694";"526";"521";"6624";"90";"95"
