"CD_MUN";"NM_MUN";"V01317";"V01318";"V01319";"V01320";"V01321";"V01322";"V01323";"V01324";"V01325";"V01326";"V01327";"V01328";"V01329";"V01330";"V01331";"V01332";"V01333";"V01334";"V01335";"V01336";"V01337";"V01338";"V01339";"V01340";"V01341";"V01342";"V01343";"V01344";"V01345";"V01346";"V01347";"V01348";"V01349";"V01350";"V01351";"V01352";"V01353";"V01354";"V01355";"V01356";"V01357";"V01358";"V01359";"V01360";"V01361";"V01362";"V01363";"V01364";"V01365";"V01366";"V01367";"V01368";"V01369";"V01370";"V01371";"V01372";"V01373";"V01374";"V01375";"V01376";"V01377";"V01378";"V01379";"V01380";"V01381";"V01382";"V01383";"V01384";"V01385";"V01386";"V01387";"V01388";"V01389";"V01390";"V01391";"V01392";"V01393";"V01394";"V01395";"V01396";"V01397";"V01398";"V01399";"V01400";"V01401";"V01402";"V01403";"V01404";"V01405";"V01406";"V01407";"V01408";"V01409";"V01410";"V01411"
"1100015";"Alta Floresta D'Oeste";"7577";"1283";"29";"11818";"598";"3762";"724";"7";"5920";"292";"3813";"543";"3";"5898";"291";"2730";"584";"6";"4187";"112";"1485";"1232";"364";"189";"0";"0";"2187";"1990";"62";"31";"7";"100";"659";"1089";"809";"0";"13";"102";"244";"98";"0";"0";"0";"3";"0";"39";"302";"1255";"1647";"883";"0";"10";"48";"22";"6";"1612";"106";"0";"2614";"215";"1441";"234";"0";"2801";"201";"3122";"644";"9";"4960";"138";"1388";"216";"0";"1440";"18";"573";"11";"0";"866";"63";"3180";"688";"6";"5050";"211";"532";"6";"0";"830";"66";"3265";"514";"0";"5059";"210"
"1100023";"Ariquemes";"31147";"9516";"267";"55169";"48";"14951";"5269";"98";"27032";"12";"16189";"4238";"96";"28137";"27";"11055";"4227";"54";"19307";"3";"5663";"5374";"2408";"1789";"6";"15";"9760";"9538";"0";"0";"26";"646";"3088";"4478";"2674";"6";"292";"1302";"1645";"776";"0";"0";"3";"15";"3";"113";"1769";"6421";"7598";"3319";"0";"0";"0";"0";"0";"6782";"1291";"14";"12928";"4";"7077";"2335";"22";"14384";"3";"12892";"4539";"75";"22460";"0";"4367";"1261";"11";"5394";"0";"2374";"368";"0";"4406";"0";"12558";"4834";"81";"22613";"9";"2366";"273";"0";"4119";"0";"13806";"3881";"89";"24011";"14"
"1100031";"Cabixi";"2122";"341";"4";"2855";"0";"1037";"205";"0";"1438";"0";"1085";"121";"0";"1417";"0";"812";"168";"0";"966";"0";"549";"259";"123";"27";"0";"0";"681";"284";"0";"0";"0";"13";"158";"327";"289";"0";"0";"34";"68";"41";"0";"0";"0";"0";"0";"0";"32";"250";"407";"260";"0";"0";"0";"0";"0";"397";"34";"0";"654";"0";"331";"36";"0";"546";"0";"904";"172";"0";"1198";"0";"484";"71";"0";"453";"0";"123";"3";"0";"207";"0";"909";"195";"0";"1230";"0";"119";"3";"0";"197";"0";"960";"111";"0";"1220";"0"
"1100049";"Cacoal";"32209";"6637";"315";"45614";"1496";"15300";"3595";"143";"22249";"741";"16906";"3017";"126";"23363";"707";"11889";"3011";"113";"16510";"252";"6487";"5382";"1759";"1214";"33";"38";"8702";"7799";"182";"50";"18";"815";"3238";"4670";"3029";"4";"148";"847";"1211";"576";"0";"0";"17";"18";"11";"59";"1472";"5466";"6300";"3087";"0";"0";"109";"72";"30";"6267";"705";"27";"9787";"508";"7161";"1509";"36";"11601";"432";"13548";"3307";"96";"19094";"378";"5211";"982";"37";"5118";"63";"2096";"170";"7";"3191";"143";"13178";"3330";"117";"19045";"569";"2145";"138";"0";"3211";"137";"14734";"2788";"118";"20133";"535"
"1100056";"Cerejeiras";"6196";"1012";"47";"8521";"0";"3032";"561";"12";"4163";"0";"3164";"447";"29";"4358";"0";"2228";"417";"16";"3187";"0";"1035";"1189";"200";"204";"4";"11";"1424";"1762";"0";"0";"0";"90";"611";"841";"654";"3";"18";"122";"143";"73";"0";"0";"5";"4";"0";"26";"245";"1047";"1204";"640";"0";"0";"0";"0";"0";"1335";"118";"4";"1902";"0";"1225";"226";"10";"1985";"0";"2528";"488";"16";"3573";"0";"1107";"149";"0";"1061";"0";"456";"28";"0";"623";"0";"2572";"515";"9";"3539";"0";"498";"21";"0";"641";"0";"2665";"410";"26";"3717";"0"
"1100064";"Colorado do Oeste";"5577";"1199";"21";"8835";"3";"2723";"645";"8";"4405";"0";"2852";"546";"6";"4430";"0";"2136";"582";"0";"3249";"0";"1177";"950";"318";"236";"0";"0";"1834";"1411";"0";"0";"0";"86";"507";"853";"642";"0";"0";"115";"224";"149";"0";"0";"0";"0";"0";"4";"189";"875";"1306";"836";"0";"0";"0";"0";"0";"1107";"91";"0";"1855";"0";"1031";"203";"0";"1953";"0";"2340";"601";"0";"3708";"0";"1097";"244";"0";"1319";"0";"400";"6";"0";"622";"0";"2316";"606";"8";"3777";"0";"335";"20";"0";"570";"0";"2507";"506";"0";"3854";"0"
"1100072";"Corumbiara";"2220";"632";"4";"4630";"6";"1198";"351";"0";"2347";"0";"1022";"277";"0";"2283";"5";"895";"299";"0";"1628";"0";"644";"246";"211";"83";"0";"0";"1194";"430";"0";"0";"0";"42";"230";"366";"244";"0";"11";"91";"110";"63";"0";"0";"0";"0";"0";"5";"94";"466";"686";"365";"0";"0";"0";"0";"0";"455";"72";"0";"984";"3";"404";"115";"0";"1011";"0";"981";"309";"0";"2043";"0";"380";"107";"0";"592";"0";"164";"22";"0";"334";"0";"1030";"322";"0";"2009";"0";"148";"18";"0";"326";"0";"870";"245";"0";"1955";"3"
"1100080";"Costa Marques";"3209";"1256";"10";"7658";"404";"1640";"708";"6";"3910";"182";"1565";"544";"0";"3748";"206";"1059";"510";"0";"2449";"126";"724";"330";"327";"174";"0";"0";"1538";"910";"53";"65";"3";"33";"269";"460";"254";"0";"24";"146";"207";"96";"0";"0";"0";"0";"0";"3";"169";"759";"1044";"452";"0";"4";"40";"34";"14";"806";"188";"0";"2074";"103";"701";"306";"0";"1955";"109";"1272";"582";"0";"2944";"136";"423";"167";"0";"682";"27";"254";"55";"0";"667";"25";"1380";"636";"5";"3241";"150";"292";"39";"0";"673";"27";"1270";"485";"0";"3075";"168"
"1100098";"Espigão D'Oeste";"11910";"1992";"21";"14814";"528";"5906";"1088";"0";"7409";"261";"6004";"896";"7";"7404";"239";"4425";"901";"3";"4975";"99";"2833";"1585";"565";"313";"0";"0";"3063";"1907";"67";"19";"0";"188";"1164";"1869";"1160";"0";"37";"272";"338";"186";"0";"0";"0";"0";"0";"0";"325";"1563";"2016";"1023";"0";"14";"32";"21";"6";"2310";"179";"0";"3559";"201";"2431";"451";"0";"3576";"145";"5228";"996";"0";"6087";"101";"1939";"298";"3";"1589";"15";"813";"27";"0";"1160";"72";"5089";"1037";"0";"6249";"168";"792";"33";"0";"1157";"61";"5207";"822";"4";"6242";"173"
"1100106";"Guajará-Mirim";"6736";"3375";"88";"23480";"5198";"3297";"1772";"30";"11510";"2679";"3431";"1595";"42";"11969";"2498";"1958";"1352";"19";"7375";"1020";"1045";"898";"696";"639";"6";"10";"3469";"3905";"675";"282";"0";"70";"456";"828";"532";"0";"39";"364";"589";"275";"0";"0";"3";"3";"0";"19";"465";"2117";"3140";"1592";"0";"70";"365";"334";"83";"1836";"478";"11";"6015";"2142";"1417";"823";"15";"5623";"1491";"2558";"1585";"31";"9268";"1278";"903";"455";"0";"2564";"184";"623";"126";"6";"1956";"673";"2667";"1619";"19";"9552";"1966";"651";"114";"0";"1905";"654";"2769";"1454";"38";"10057";"1806"
