"CD_MUN";"NM_MUN";"V01224";"V01225";"V01226";"V01227";"V01228";"V01229";"V01230";"V01231";"V01232";"V01233";"V01234";"V01235";"V01236";"V01237";"V01238";"V01239";"V01240";"V01241";"V01242";"V01243";"V01244";"V01245";"V01246";"V01247";"V01248";"V01249";"V01250";"V01251";"V01252";"V01253";"V01254";"V01255";"V01256";"V01257";"V01258";"V01259";"V01260";"V01261";"V01262";"V01263";"V01264";"V01265";"V01266";"V01267";"V01268";"V01269";"V01270";"V01271";"V01272";"V01273";"V01274";"V01275";"V01276";"V01277";"V01278";"V01279";"V01280";"V01281";"V01282";"V01283";"V01284";"V01285";"V01286";"V01287";"V01288";"V01289";"V01290";"V01291";"V01292";"V01293";"V01294";"V01295";"V01296";"V01297";"V01298";"V01299";"V01300";"V01301";"V01302";"V01303";"V01304";"V01305";"V01306";"V01307";"V01308";"V01309";"V01310";"V01311";"V01312";"V01313";"V01314";"V01315";"V01316"
"1100015";"Alta Floresta D'Oeste";"328";"7334";"188";"105";"0";"0";"0";"0";"0";"0";"3";"6";"11";"10";"57";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"39";"184";"0";"101";"0";"107";"2606";"6";"555";"0";"6";"169";"4006";"0";"109";"14";"12";"0";"17";"32";"21";"62";"8";"4";"3";"3";"0";"0";"7";"0";"16";"3";"9";"0";"42";"6";"0";"0";"0";"6";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"12";"10";"0";"0";"0";"3";"0";"0";"0";"21";"0";"0";"3";"0"
"1100023";"Ariquemes";"1709";"33102";"1019";"602";"0";"0";"0";"0";"0";"3";"8";"21";"48";"108";"329";"0";"0";"0";"0";"0";"0";"3";"12";"15";"48";"220";"990";"0";"585";"0";"492";"10510";"126";"4014";"3";"50";"885";"18399";"0";"3";"45";"91";"90";"132";"293";"169";"230";"13";"3";"26";"10";"32";"16";"48";"22";"118";"42";"69";"37";"95";"44";"0";"0";"8";"30";"0";"0";"3";"10";"0";"3";"9";"49";"0";"0";"0";"46";"0";"0";"40";"132";"0";"0";"14";"71";"0";"0";"0";"36";"0";"0";"3";"17"
"1100031";"Cabixi";"105";"1858";"61";"32";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"17";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9";"57";"0";"27";"0";"39";"763";"3";"156";"0";"0";"36";"922";"0";"0";"0";"6";"8";"3";"6";"13";"14";"0";"0";"0";"0";"5";"3";"3";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"3";"0";"0";"0";"3";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0"
"1100049";"Cacoal";"1337";"30575";"766";"480";"0";"0";"0";"0";"0";"6";"6";"14";"47";"40";"261";"0";"0";"0";"0";"0";"0";"3";"3";"9";"21";"207";"751";"0";"463";"0";"457";"11379";"64";"2879";"0";"102";"624";"15842";"0";"243";"43";"52";"41";"63";"188";"146";"178";"13";"6";"13";"11";"14";"10";"23";"7";"64";"23";"65";"19";"74";"25";"0";"0";"3";"22";"0";"0";"0";"26";"0";"0";"3";"24";"0";"0";"3";"20";"0";"0";"28";"83";"0";"0";"3";"33";"0";"0";"0";"26";"0";"0";"0";"15"
"1100056";"Cerejeiras";"304";"5575";"142";"149";"0";"0";"0";"0";"0";"0";"0";"3";"6";"16";"49";"0";"0";"0";"0";"0";"0";"3";"0";"3";"3";"63";"142";"0";"147";"0";"112";"2109";"6";"396";"0";"16";"149";"3031";"0";"0";"18";"11";"7";"16";"44";"19";"49";"7";"3";"4";"4";"3";"0";"6";"10";"17";"16";"3";"3";"16";"13";"0";"0";"0";"5";"0";"0";"3";"0";"0";"0";"3";"4";"0";"0";"0";"10";"0";"0";"0";"8";"0";"0";"3";"10";"0";"0";"0";"12";"0";"0";"0";"6"
"1100064";"Colorado do Oeste";"287";"5701";"147";"118";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"58";"0";"0";"0";"0";"0";"0";"0";"3";"0";"4";"47";"146";"0";"112";"0";"99";"2014";"7";"557";"0";"0";"128";"3107";"0";"0";"8";"10";"9";"18";"30";"15";"41";"3";"3";"0";"3";"0";"3";"12";"3";"7";"11";"0";"3";"12";"7";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"3";"0";"0";"0";"8";"0";"0";"0";"14";"0";"0";"3";"13";"0";"0";"0";"3";"0";"0";"0";"4"
"1100072";"Corumbiara";"111";"2732";"49";"40";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"12";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"11";"42";"0";"36";"0";"32";"861";"3";"288";"0";"0";"60";"1568";"0";"0";"0";"3";"3";"6";"13";"11";"19";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"3";"3";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"7"
"1100080";"Costa Marques";"232";"3936";"130";"82";"0";"0";"0";"0";"0";"0";"0";"6";"0";"4";"33";"0";"0";"0";"0";"0";"0";"3";"0";"0";"7";"18";"123";"3";"76";"0";"36";"1011";"15";"485";"0";"0";"140";"2307";"4";"112";"3";"14";"4";"19";"37";"11";"23";"0";"0";"3";"3";"3";"0";"8";"7";"17";"3";"6";"0";"7";"3";"0";"0";"0";"3";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"3";"11";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0"
"1100098";"Espigão D'Oeste";"452";"10002";"273";"149";"0";"0";"0";"0";"0";"0";"0";"0";"6";"45";"82";"0";"0";"0";"0";"0";"0";"0";"3";"3";"3";"57";"265";"0";"146";"0";"157";"4242";"4";"868";"0";"3";"217";"4751";"7";"90";"15";"14";"18";"7";"65";"67";"40";"3";"0";"7";"0";"0";"0";"6";"0";"39";"11";"40";"9";"16";"4";"0";"0";"0";"10";"0";"0";"0";"6";"0";"0";"0";"6";"0";"0";"0";"3";"0";"0";"16";"46";"0";"0";"0";"16";"0";"0";"0";"6";"0";"0";"0";"4"
"1100106";"Guajará-Mirim";"720";"11057";"378";"313";"0";"0";"0";"0";"0";"0";"3";"7";"36";"31";"117";"0";"0";"0";"0";"0";"0";"0";"6";"13";"23";"144";"372";"0";"305";"3";"88";"1840";"37";"1271";"0";"17";"486";"6896";"10";"972";"30";"29";"60";"42";"127";"82";"114";"5";"0";"0";"3";"24";"18";"14";"10";"57";"30";"33";"16";"40";"35";"0";"0";"3";"13";"0";"0";"0";"12";"0";"0";"14";"10";"0";"0";"3";"23";"0";"0";"11";"53";"0";"0";"3";"44";"0";"0";"6";"6";"0";"0";"6";"11"
"1100114";"Jaru";"832";"18139";"468";"312";"0";"0";"0";"0";"0";"0";"3";"4";"3";"37";"155";"0";"0";"0";"0";"0";"3";"0";"0";"3";"30";"107";"456";"0";"310";"0";"194";"5422";"48";"2118";"0";"7";"455";"10526";"0";"18";"32";"16";"29";"43";"83";"77";"121";"5";"3";"3";"0";"12";"0";"13";"15";"27";"13";"23";"16";"58";"14";"0";"0";"3";"11";"0";"0";"0";"9";"0";"0";"0";"9";"0";"0";"0";"18";"0";"3";"7";"37";"0";"0";"4";"26";"0";"0";"4";"32";"0";"0";"0";"6"
"1100122";"Ji-Paraná";"2129";"42937";"1236";"791";"0";"0";"0";"0";"6";"0";"9";"24";"51";"123";"372";"0";"0";"0";"0";"0";"0";"0";"6";"23";"63";"264";"1204";"0";"780";"0";"618";"13717";"127";"4576";"0";"62";"1117";"24157";"0";"229";"93";"106";"104";"110";"351";"238";"273";"17";"25";"33";"10";"30";"19";"34";"3";"145";"89";"90";"35";"114";"54";"0";"0";"6";"53";"0";"0";"0";"24";"0";"0";"10";"47";"0";"0";"0";"27";"0";"0";"47";"144";"0";"0";"12";"96";"0";"0";"10";"33";"0";"0";"0";"22"
