Municípios;Código municipal;UF;% do total geral
Abadia de Goiás;5200050;GO;63,3
Abadia dos Dourados;3100104;MG;70,88
Abadiânia;5200100;GO;63,32
Abaeté;3100203;MG;87,67
Abaetetuba;1500107;PA;17,36
Abaiara;2300101;CE;52,07
Abaíra;2900108;BA;85,78
Abaré;2900207;BA;87,75
Abatiá;4100103;PR;79,55
Abdon Batista;4200051;SC;71
Abel Figueiredo;1500131;PA;81,25
Abelardo Luz;4200101;SC;64,39
Abre Campo;3100302;MG;62,5
Abreu e Lima;2600054;PE;84,86
Abreulândia;1700251;TO;58,81
Acaiaca;3100401;MG;74,65
Açailândia;2100055;MA;91,99
Acajutiba;2900306;BA;87,92
Acará;1500206;PA;24,56
Acarape;2300150;CE;86,39
Acaraú;2300200;CE;67,63
Acari;2400109;RN;85,12
Acauã;2200053;PI;25,5
Aceguá;4300034;RS;36,91
Acopiara;2300309;CE;64,51
Acorizal;5100102;MT;66,72
Acrelândia;1200013;AC;27,15
Acreúna;5200134;GO;69,9
Açu;2400208;RN;78,55
Açucena;3100500;MG;43,32
Adamantina;3500105;SP;97,02
Adelândia;5200159;GO;82,71
Adolfo;3500204;SP;88,42
Adrianópolis;4100202;PR;52,52
Adustina;2900355;BA;76,38
Afogados da Ingazeira;2600104;PE;81,54
Afonso Bezerra;2400307;RN;53,36
Afonso Cláudio;3200102;ES;55,33
Afonso Cunha;2100105;MA;61,15
Afrânio;2600203;PE;43,63
Afuá;1500305;PA;17,82
Agrestina;2600302;PE;85,51
Agricolândia;2200103;PI;97,5
Agrolândia;4200200;SC;72,84
Agronômica;4200309;SC;51,77
Água Azul do Norte;1500347;PA;19,15
Água Boa;3100609;MG;53,91
Água Boa;5100201;MT;82,95
Água Branca;2200202;PI;91,99
Água Branca;2500106;PB;60,54
Água Branca;2700102;AL;71,31
Água Clara;5000203;MS;82,34
Água Comprida;3100708;MG;73,24
Água Doce;4200408;SC;57,94
Água Doce do Maranhão;2100154;MA;76,43
Água Doce do Norte;3200169;ES;59,65
Água Fria;2900405;BA;62,81
Água Fria de Goiás;5200175;GO;60,1
Água Limpa;5200209;GO;75,84
Água Nova;2400406;RN;60,95
Água Preta;2600401;PE;61,51
Água Santa;4300059;RS;44,21
Aguaí;3500303;SP;93,36
Aguanil;3100807;MG;72,63
Águas Belas;2600500;PE;33,51
Águas da Prata;3500402;SP;89,86
Águas de Chapecó;4200507;SC;63,06
Águas de Lindóia;3500501;SP;94,1
Águas de Santa Bárbara;3500550;SP;87,38
Águas de São Pedro;3500600;SP;100
Águas Formosas;3100906;MG;77,32
Águas Frias;4200556;SC;55,95
Águas Lindas de Goiás;5200258;GO;94,18
Águas Mornas;4200606;SC;33,29
Águas Vermelhas;3101003;MG;88,15
Agudo;4300109;RS;61,64
Agudos;3500709;SP;95,1
Agudos do Sul;4100301;PR;56,76
Águia Branca;3200136;ES;36,97
Aguiar;2500205;PB;55,17
Aguiarnópolis;1700301;TO;86,25
Aimorés;3101102;MG;82,79
Aiquara;2900603;BA;60,42
Aiuaba;2300408;CE;60,88
Aiuruoca;3101201;MG;47,24
Ajuricaba;4300208;RS;85,38
Alagoa;3101300;MG;66,8
Alagoa Grande;2500304;PB;75,63
Alagoa Nova;2500403;PB;39,48
Alagoinha;2500502;PB;72,43
Alagoinha;2600609;PE;41,68
Alagoinha do Piauí;2200251;PI;54,49
Alagoinhas;2900702;BA;94,75
Alambari;3500758;SP;81,72
Albertina;3101409;MG;70,43
Alcântara;2100204;MA;45,85
Alcântaras;2300507;CE;47,91
Alcantil;2500536;PB;0
Alcinópolis;5000252;MS;66,38
Alcobaça;2900801;BA;58,64
Aldeias Altas;2100303;MA;40,32
Alecrim;4300307;RS;80,53
Alegre;3200201;ES;80,08
Alegrete;4300406;RS;87,75
Alegrete do Piauí;2200277;PI;61
Alegria;4300455;RS;87,06
Além Paraíba;3101508;MG;95,24
Alenquer;1500404;PA;19,68
Alexandria;2400505;RN;72,96
Alexânia;5200308;GO;74,98
Alfenas;3101607;MG;94,15
Alfredo Chaves;3200300;ES;48,92
Alfredo Marcondes;3500808;SP;88,01
Alfredo Vasconcelos;3101631;MG;75
Alfredo Wagner;4200705;SC;32,7
Algodão de Jandaíra;2500577;PB;0
Alhandra;2500601;PB;85,04
Aliança;2600708;PE;80,51
Aliança do Tocantins;1700350;TO;67,39
Almadina;2900900;BA;85,17
Almas;1700400;TO;77,01
Almeirim;1500503;PA;60,16
Almenara;3101706;MG;85,14
Almino Afonso;2400604;RN;56,26
Almirante Tamandaré;4100400;PR;94,94
Almirante Tamandaré do Sul;4300471;RS;65,66
Aloândia;5200506;GO;85,47
Alpercata;3101805;MG;74,23
Alpestre;4300505;RS;53,36
Alpinópolis;3101904;MG;82
Alta Floresta;5100250;MT;72,68
Alta Floresta D'Oeste;1100015;RO;26,48
Altair;3500907;SP;83,96
Altamira;1500602;PA;43,98
Altamira do Maranhão;2100402;MA;68,46
Altamira do Paraná;4100459;PR;63,91
Altaneira;2300606;CE;92,35
Alterosa;3102001;MG;76,12
Altinho;2600807;PE;71,57
Altinópolis;3501004;SP;91,26
Alto Alegre;1400050;RR;38,68
Alto Alegre;3501103;SP;81,62
Alto Alegre;4300554;RS;93,83
Alto Alegre do Maranhão;2100436;MA;78,97
Alto Alegre do Pindaré;2100477;MA;78,32
Alto Alegre dos Parecis;1100379;RO;19,8
Alto Araguaia;5100300;MT;86,47
Alto Bela Vista;4200754;SC;41,79
Alto Boa Vista;5100359;MT;69,33
Alto Caparaó;3102050;MG;81,62
Alto do Rodrigues;2400703;RN;87,81
Alto Feliz;4300570;RS;68,05
Alto Garças;5100409;MT;90,49
Alto Horizonte;5200555;GO;87,04
Alto Jequitibá;3153509;MG;56,45
Alto Longá;2200301;PI;63,3
Alto Paraguai;5100508;MT;71,09
Alto Paraíso;1100403;RO;8,8
Alto Paraíso;4128625;PR;79,47
Alto Paraíso de Goiás;5200605;GO;70,99
Alto Paraná;4100608;PR;87,6
Alto Parnaíba;2100501;MA;73,13
Alto Piquiri;4100707;PR;86,53
Alto Rio Doce;3102100;MG;59,27
Alto Rio Novo;3200359;ES;57,84
Alto Santo;2300705;CE;79,93
Alto Taquari;5100607;MT;94,86
Altônia;4100509;PR;81,96
Altos;2200400;PI;63,92
Alumínio;3501152;SP;90,97
Alvarães;1300029;AM;63,57
Alvarenga;3102209;MG;50
Álvares Florence;3501202;SP;68,95
Álvares Machado;3501301;SP;90,41
Álvaro de Carvalho;3501400;SP;91,87
Alvinlândia;3501509;SP;93,25
Alvinópolis;3102308;MG;72,01
Alvorada;1700707;TO;79,57
Alvorada;4300604;RS;98,13
Alvorada D'Oeste;1100346;RO;52,87
Alvorada de Minas;3102407;MG;47,29
Alvorada do Gurguéia;2200459;PI;63,83
Alvorada do Norte;5200803;GO;85,65
Alvorada do Sul;4100806;PR;83,62
Amajari;1400027;RR;47,93
Amambai;5000609;MS;78,43
Amapá;1600105;AP;31,82
Amapá do Maranhão;2100550;MA;75,41
Amaporã;4100905;PR;79,14
Amaraji;2600906;PE;77,4
Amaral Ferrador;4300638;RS;71,42
Amaralina;5200829;GO;46,56
Amarante;2200509;PI;79,14
Amarante do Maranhão;2100600;MA;70,85
Amargosa;2901007;BA;81,59
Amaturá;1300060;AM;66,23
Amélia Rodrigues;2901106;BA;82,06
América Dourada;2901155;BA;82,25
Americana;3501608;SP;95,71
Americano do Brasil;5200852;GO;89,56
Américo Brasiliense;3501707;SP;99,33
Américo de Campos;3501806;SP;89,16
Ametista do Sul;4300646;RS;77,15
Amontada;2300754;CE;48,85
Amorinópolis;5200902;GO;77,13
Amparo;2500734;PB;68,69
Amparo;3501905;SP;89,82
Amparo do São Francisco;2800100;SE;90,85
Amparo do Serra;3102506;MG;65,12
Ampére;4101002;PR;80,42
Anadia;2700201;AL;47,9
Anagé;2901205;BA;27,34
Anahy;4101051;PR;82,62
Anajás;1500701;PA;6,72
Anajatuba;2100709;MA;53,17
Analândia;3502002;SP;85,23
Anamã;1300086;AM;43,74
Ananás;1701002;TO;80,83
Ananindeua;1500800;PA;37,33
Anápolis;5201108;GO;90,01
Anapu;1500859;PA;7,03
Anapurus;2100808;MA;58,68
Anastácio;5000708;MS;87,25
Anaurilândia;5000807;MS;69,45
Anchieta;3200409;ES;83,42
Anchieta;4200804;SC;64,02
Andaraí;2901304;BA;60,67
Andirá;4101101;PR;95,68
Andorinha;2901353;BA;60,68
Andradas;3102605;MG;78,6
Andradina;3502101;SP;95,37
André da Rocha;4300661;RS;79,41
Andrelândia;3102803;MG;83,35
Angatuba;3502200;SP;83,42
Angelândia;3102852;MG;65,98
Angélica;5000856;MS;81,95
Angelim;2601003;PE;69,48
Angelina;4200903;SC;15,96
Angical;2901403;BA;65,44
Angical do Piauí;2200608;PI;85,04
Angico;1701051;TO;79,87
Angicos;2400802;RN;92,96
Angra dos Reis;3300100;RJ;87,74
Anguera;2901502;BA;87,02
Ângulo;4101150;PR;85,75
Anhanguera;5201207;GO;94,41
Anhembi;3502309;SP;78,82
Anhumas;3502408;SP;85,35
Anicuns;5201306;GO;82,24
Anísio de Abreu;2200707;PI;59,64
Anita Garibaldi;4201000;SC;58,85
Anitápolis;4201109;SC;38,99
Anori;1300102;AM;66,8
Anta Gorda;4300703;RS;88,14
Antas;2901601;BA;79,73
Antonina;4101200;PR;87,71
Antonina do Norte;2300804;CE;85,81
Antônio Almeida;2200806;PI;94,04
Antônio Cardoso;2901700;BA;67,68
Antônio Carlos;3102902;MG;77,58
Antônio Carlos;4201208;SC;52,63
Antônio Dias;3103009;MG;51,56
Antônio Gonçalves;2901809;BA;81,37
Antônio João;5000906;MS;77,39
Antônio Martins;2400901;RN;42,28
Antônio Olinto;4101309;PR;31,43
Antônio Prado;4300802;RS;78,59
Antônio Prado de Minas;3103108;MG;66,94
Aparecida;2500775;PB;64,05
Aparecida;3502507;SP;98,53
Aparecida d'Oeste;3502606;SP;83,79
Aparecida de Goiânia;5201405;GO;72,3
Aparecida do Rio Doce;5201454;GO;78,62
Aparecida do Rio Negro;1701101;TO;72,45
Aparecida do Taboado;5001003;MS;68,64
Aperibé;3300159;RJ;86,78
Apiacá;3200508;ES;71,81
Apiacás;5100805;MT;47,38
Apiaí;3502705;SP;80,64
Apicum-Açu;2100832;MA;90,82
Apiúna;4201257;SC;67,81
Apodi;2401008;RN;57,35
Aporá;2901908;BA;90,44
Aporé;5201504;GO;76,96
Apuarema;2901957;BA;66,45
Apucarana;4101408;PR;96,46
Apuí;1300144;AM;30,68
Apuiarés;2300903;CE;78,67
Aquidabã;2800209;SE;80,05
Aquidauana;5001102;MS;86,81
Aquiraz;2301000;CE;26,37
Arabutã;4201273;SC;44,74
Araçagi;2500809;PB;68,07
Araçaí;3103207;MG;86,2
Aracaju;2800308;SE;97,43
Araçariguama;3502754;SP;79,05
Araçás;2902054;BA;78,89
Aracati;2301109;CE;78,9
Aracatu;2902005;BA;43,95
Araçatuba;3502804;SP;97,31
Araci;2902104;BA;64,34
Aracitaba;3103306;MG;81,97
Aracoiaba;2301208;CE;71,14
Araçoiaba;2601052;PE;41,02
Araçoiaba da Serra;3502903;SP;84,84
Aracruz;3200607;ES;90,09
Araçu;5201603;GO;85,54
Araçuaí;3103405;MG;78,52
Aragarças;5201702;GO;94,35
Aragoiânia;5201801;GO;60,61
Aragominas;1701309;TO;54,85
Araguacema;1701903;TO;61,57
Araguaçu;1702000;TO;63,04
Araguaiana;5101001;MT;69,32
Araguaína;1702109;TO;94,99
Araguainha;5101209;MT;87,75
Araguanã;1702158;TO;70,23
Araguanã;2100873;MA;47,29
Araguapaz;5202155;GO;66,28
Araguari;3103504;MG;92,48
Araguatins;1702208;TO;75,44
Araioses;2100907;MA;42,83
Aral Moreira;5001243;MS;68,46
Aramari;2902203;BA;80,81
Arambaré;4300851;RS;81,67
Arame;2100956;MA;56,29
Aramina;3503000;SP;93,66
Arandu;3503109;SP;77,89
Arantina;3103603;MG;91,55
Arapeí;3503158;SP;80,34
Arapiraca;2700300;AL;77,6
Arapoema;1702307;TO;80,22
Araponga;3103702;MG;44,79
Arapongas;4101507;PR;95,27
Araporã;3103751;MG;94,93
Arapoti;4101606;PR;87,5
Arapuá;3103801;MG;79,33
Arapuã;4101655;PR;50,41
Araputanga;5101258;MT;86,45
Araquari;4201307;SC;75,63
Arara;2500908;PB;44,31
Araranguá;4201406;SC;70,39
Araraquara;3503208;SP;98,55
Araras;3503307;SP;96,35
Ararendá;2301257;CE;88,26
Arari;2101004;MA;62,39
Araricá;4300877;RS;10,92
