Municípios;Código municipal;UF;% do total geral
Abadia de Goiás;5200050;GO;99,68
Abadia dos Dourados;3100104;MG;99,88
Abadiânia;5200100;GO;99,74
Abaeté;3100203;MG;99,75
Abaetetuba;1500107;PA;86,64
Abaiara;2300101;CE;93,48
Abaíra;2900108;BA;99,3
Abaré;2900207;BA;91,22
Abatiá;4100103;PR;99,89
Abdon Batista;4200051;SC;99,17
Abel Figueiredo;1500131;PA;95,7
Abelardo Luz;4200101;SC;99,64
Abre Campo;3100302;MG;99,96
Abreu e Lima;2600054;PE;99,06
Abreulândia;1700251;TO;98,38
Acaiaca;3100401;MG;100
Açailândia;2100055;MA;98,73
Acajutiba;2900306;BA;97,84
Acará;1500206;PA;83,17
Acarape;2300150;CE;95,7
Acaraú;2300200;CE;92,06
Acari;2400109;RN;99,45
Acauã;2200053;PI;86,73
Aceguá;4300034;RS;98,41
Acopiara;2300309;CE;91,33
Acorizal;5100102;MT;98,46
Acrelândia;1200013;AC;94,13
Acreúna;5200134;GO;99,9
Açu;2400208;RN;97,69
Açucena;3100500;MG;99,33
Adamantina;3500105;SP;99,99
Adelândia;5200159;GO;99,78
Adolfo;3500204;SP;99,94
Adrianópolis;4100202;PR;98,97
Adustina;2900355;BA;91,38
Afogados da Ingazeira;2600104;PE;97,97
Afonso Bezerra;2400307;RN;97,98
Afonso Cláudio;3200102;ES;99,82
Afonso Cunha;2100105;MA;60,74
Afrânio;2600203;PE;95,53
Afuá;1500305;PA;63,92
Agrestina;2600302;PE;97,56
Agricolândia;2200103;PI;98,43
Agrolândia;4200200;SC;99,95
Agronômica;4200309;SC;100
Água Azul do Norte;1500347;PA;95,98
Água Boa;3100609;MG;96,4
Água Boa;5100201;MT;99,38
Água Branca;2200202;PI;98,16
Água Branca;2500106;PB;93,05
Água Branca;2700102;AL;92,84
Água Clara;5000203;MS;99,89
Água Comprida;3100708;MG;100
Água Doce;4200408;SC;99,88
Água Doce do Maranhão;2100154;MA;83,94
Água Doce do Norte;3200169;ES;99,63
Água Fria;2900405;BA;93,34
Água Fria de Goiás;5200175;GO;99,61
Água Limpa;5200209;GO;100
Água Nova;2400406;RN;97,17
Água Preta;2600401;PE;93,86
Água Santa;4300059;RS;99,28
Aguaí;3500303;SP;99,93
Aguanil;3100807;MG;100
Águas Belas;2600500;PE;85,62
Águas da Prata;3500402;SP;100
Águas de Chapecó;4200507;SC;99,74
Águas de Lindóia;3500501;SP;99,99
Águas de Santa Bárbara;3500550;SP;99,89
Águas de São Pedro;3500600;SP;100
Águas Formosas;3100906;MG;98,59
Águas Frias;4200556;SC;99,42
Águas Lindas de Goiás;5200258;GO;99,87
Águas Mornas;4200606;SC;99,88
Águas Vermelhas;3101003;MG;98,09
Agudo;4300109;RS;99,02
Agudos;3500709;SP;99,88
Agudos do Sul;4100301;PR;99,26
Águia Branca;3200136;ES;99,84
Aguiar;2500205;PB;87,2
Aguiarnópolis;1700301;TO;99,31
Aimorés;3101102;MG;99,87
Aiquara;2900603;BA;96,81
Aiuaba;2300408;CE;81,78
Aiuruoca;3101201;MG;99,64
Ajuricaba;4300208;RS;99,85
Alagoa;3101300;MG;100
Alagoa Grande;2500304;PB;98,58
Alagoa Nova;2500403;PB;86,24
Alagoinha;2500502;PB;96,47
Alagoinha;2600609;PE;80,75
Alagoinha do Piauí;2200251;PI;86,52
Alagoinhas;2900702;BA;98,97
Alambari;3500758;SP;99,91
Albertina;3101409;MG;100
Alcântara;2100204;MA;79,02
Alcântaras;2300507;CE;77,35
Alcantil;2500536;PB;90
Alcinópolis;5000252;MS;99,89
Alcobaça;2900801;BA;97,57
Aldeias Altas;2100303;MA;66,3
Alecrim;4300307;RS;99,02
Alegre;3200201;ES;99,96
Alegrete;4300406;RS;99,42
Alegrete do Piauí;2200277;PI;92,85
Alegria;4300455;RS;99,72
Além Paraíba;3101508;MG;99,77
Alenquer;1500404;PA;83,44
Alexandria;2400505;RN;94,09
Alexânia;5200308;GO;99,79
Alfenas;3101607;MG;99,97
Alfredo Chaves;3200300;ES;99,94
Alfredo Marcondes;3500808;SP;100
Alfredo Vasconcelos;3101631;MG;99,96
Alfredo Wagner;4200705;SC;99,56
Algodão de Jandaíra;2500577;PB;53
Alhandra;2500601;PB;98,43
Aliança;2600708;PE;97,78
Aliança do Tocantins;1700350;TO;99,57
Almadina;2900900;BA;97,27
Almas;1700400;TO;94,61
Almeirim;1500503;PA;89,97
Almenara;3101706;MG;97,71
Almino Afonso;2400604;RN;98,74
Almirante Tamandaré;4100400;PR;99,74
Almirante Tamandaré do Sul;4300471;RS;100
Aloândia;5200506;GO;99,63
Alpercata;3101805;MG;99,85
Alpestre;4300505;RS;99,19
Alpinópolis;3101904;MG;99,97
Alta Floresta;5100250;MT;99,9
Alta Floresta D'Oeste;1100015;RO;98,48
Altair;3500907;SP;99,84
Altamira;1500602;PA;94,28
Altamira do Maranhão;2100402;MA;85,79
Altamira do Paraná;4100459;PR;99,7
Altaneira;2300606;CE;97,1
Alterosa;3102001;MG;99,91
Altinho;2600807;PE;93,26
Altinópolis;3501004;SP;100
Alto Alegre;1400050;RR;58,95
Alto Alegre;3501103;SP;100
Alto Alegre;4300554;RS;99,86
Alto Alegre do Maranhão;2100436;MA;86,83
Alto Alegre do Pindaré;2100477;MA;89,79
Alto Alegre dos Parecis;1100379;RO;98,34
Alto Araguaia;5100300;MT;99,7
Alto Bela Vista;4200754;SC;99,59
Alto Boa Vista;5100359;MT;90,6
Alto Caparaó;3102050;MG;99,91
Alto do Rodrigues;2400703;RN;99,81
Alto Feliz;4300570;RS;99,92
Alto Garças;5100409;MT;99,91
Alto Horizonte;5200555;GO;98,98
Alto Jequitibá;3153509;MG;99,97
Alto Longá;2200301;PI;92,24
Alto Paraguai;5100508;MT;97,88
Alto Paraíso;1100403;RO;99,36
Alto Paraíso;4128625;PR;100
Alto Paraíso de Goiás;5200605;GO;99,39
Alto Paraná;4100608;PR;99,96
Alto Parnaíba;2100501;MA;81,44
Alto Piquiri;4100707;PR;99,84
Alto Rio Doce;3102100;MG;99,4
Alto Rio Novo;3200359;ES;99,72
Alto Santo;2300705;CE;97,37
Alto Taquari;5100607;MT;100
Altônia;4100509;PR;99,94
Altos;2200400;PI;92,95
Alumínio;3501152;SP;99,97
Alvarães;1300029;AM;64,39
Alvarenga;3102209;MG;99,74
Álvares Florence;3501202;SP;100
Álvares Machado;3501301;SP;99,97
Álvaro de Carvalho;3501400;SP;99,83
Alvinlândia;3501509;SP;100
Alvinópolis;3102308;MG;99,71
Alvorada;1700707;TO;99,9
Alvorada;4300604;RS;99,53
Alvorada D'Oeste;1100346;RO;99,07
Alvorada de Minas;3102407;MG;97,66
Alvorada do Gurguéia;2200459;PI;93,11
Alvorada do Norte;5200803;GO;99,26
Alvorada do Sul;4100806;PR;100
Amajari;1400027;RR;58,18
Amambai;5000609;MS;89,84
Amapá;1600105;AP;93,58
Amapá do Maranhão;2100550;MA;85,93
Amaporã;4100905;PR;99,88
Amaraji;2600906;PE;98,69
Amaral Ferrador;4300638;RS;98,76
Amaralina;5200829;GO;96,09
Amarante;2200509;PI;90,89
Amarante do Maranhão;2100600;MA;74,97
Amargosa;2901007;BA;98,05
Amaturá;1300060;AM;57,75
Amélia Rodrigues;2901106;BA;96,79
América Dourada;2901155;BA;93,88
Americana;3501608;SP;99,97
Americano do Brasil;5200852;GO;99,91
Américo Brasiliense;3501707;SP;99,99
Américo de Campos;3501806;SP;99,92
Ametista do Sul;4300646;RS;99,03
Amontada;2300754;CE;86,39
Amorinópolis;5200902;GO;99,84
Amparo;2500734;PB;98,99
Amparo;3501905;SP;99,97
Amparo do São Francisco;2800100;SE;99,46
Amparo do Serra;3102506;MG;99,81
Ampére;4101002;PR;99,97
Anadia;2700201;AL;98,01
Anagé;2901205;BA;93,51
Anahy;4101051;PR;100
Anajás;1500701;PA;49,02
Anajatuba;2100709;MA;79,5
Analândia;3502002;SP;99,88
Anamã;1300086;AM;89,34
Ananás;1701002;TO;94,25
Ananindeua;1500800;PA;99,29
Anápolis;5201108;GO;99,95
Anapu;1500859;PA;75,98
Anapurus;2100808;MA;74,5
Anastácio;5000708;MS;99,62
Anaurilândia;5000807;MS;99,9
Anchieta;3200409;ES;99,86
Anchieta;4200804;SC;99,65
Andaraí;2901304;BA;92,39
Andirá;4101101;PR;99,96
Andorinha;2901353;BA;81,01
Andradas;3102605;MG;99,96
Andradina;3502101;SP;99,92
André da Rocha;4300661;RS;100
Andrelândia;3102803;MG;99,93
Angatuba;3502200;SP;99,87
Angelândia;3102852;MG;98,89
Angélica;5000856;MS;99,87
Angelim;2601003;PE;98,56
Angelina;4200903;SC;99,95
Angical;2901403;BA;96,57
Angical do Piauí;2200608;PI;97,43
Angico;1701051;TO;93,74
Angicos;2400802;RN;98,23
Angra dos Reis;3300100;RJ;99,88
Anguera;2901502;BA;92,51
Ângulo;4101150;PR;100
Anhanguera;5201207;GO;100
Anhembi;3502309;SP;99,95
Anhumas;3502408;SP;99,93
Anicuns;5201306;GO;99,93
Anísio de Abreu;2200707;PI;81,92
Anita Garibaldi;4201000;SC;99,01
Anitápolis;4201109;SC;99,7
Anori;1300102;AM;97,01
Anta Gorda;4300703;RS;100
Antas;2901601;BA;97,26
Antonina;4101200;PR;99,65
Antonina do Norte;2300804;CE;97,38
Antônio Almeida;2200806;PI;94,42
Antônio Cardoso;2901700;BA;94,82
Antônio Carlos;3102902;MG;99,68
Antônio Carlos;4201208;SC;100
Antônio Dias;3103009;MG;99,78
Antônio Gonçalves;2901809;BA;96,56
Antônio João;5000906;MS;88,79
Antônio Martins;2400901;RN;93,89
Antônio Olinto;4101309;PR;97,19
Antônio Prado;4300802;RS;99,94
Antônio Prado de Minas;3103108;MG;100
Aparecida;2500775;PB;95,06
Aparecida;3502507;SP;99,9
Aparecida d'Oeste;3502606;SP;99,81
Aparecida de Goiânia;5201405;GO;99,9
Aparecida do Rio Doce;5201454;GO;99,91
Aparecida do Rio Negro;1701101;TO;97,41
Aparecida do Taboado;5001003;MS;99,93
Aperibé;3300159;RJ;99,88
Apiacá;3200508;ES;99,93
Apiacás;5100805;MT;95,97
Apiaí;3502705;SP;99,41
Apicum-Açu;2100832;MA;75,54
Apiúna;4201257;SC;99,97
Apodi;2401008;RN;96,67
Aporá;2901908;BA;96,79
Aporé;5201504;GO;99,87
Apuarema;2901957;BA;95,94
Apucarana;4101408;PR;99,97
Apuí;1300144;AM;95,16
Apuiarés;2300903;CE;98
Aquidabã;2800209;SE;96
Aquidauana;5001102;MS;99,65
Aquiraz;2301000;CE;97,41
