Municípios;Código municipal;UF;% do total geral
Abadia de Goiás;5200050;GO;98,15
Abadia dos Dourados;3100104;MG;75,77
Abadiânia;5200100;GO;84,34
Abaeté;3100203;MG;91,62
Abaetetuba;1500107;PA;71,6
Abaiara;2300101;CE;50,93
Abaíra;2900108;BA;65,98
Abaré;2900207;BA;70,53
Abatiá;4100103;PR;84,64
Abdon Batista;4200051;SC;79,98
Abel Figueiredo;1500131;PA;85,85
Abelardo Luz;4200101;SC;70,3
Abre Campo;3100302;MG;68,01
Abreu e Lima;2600054;PE;94,42
Abreulândia;1700251;TO;60,32
Acaiaca;3100401;MG;89,18
Açailândia;2100055;MA;90,49
Acajutiba;2900306;BA;83,2
Acará;1500206;PA;26,74
Acarape;2300150;CE;90,7
Acaraú;2300200;CE;70,25
Acari;2400109;RN;91,81
Acauã;2200053;PI;35,97
Aceguá;4300034;RS;81,8
Acopiara;2300309;CE;62,78
Acorizal;5100102;MT;72,65
Acrelândia;1200013;AC;55,46
Acreúna;5200134;GO;94,2
Açu;2400208;RN;89,81
Açucena;3100500;MG;58,75
Adamantina;3500105;SP;98,64
Adelândia;5200159;GO;89,06
Adolfo;3500204;SP;98,06
Adrianópolis;4100202;PR;79,86
Adustina;2900355;BA;77,88
Afogados da Ingazeira;2600104;PE;82,39
Afonso Bezerra;2400307;RN;84,09
Afonso Cláudio;3200102;ES;70,9
Afonso Cunha;2100105;MA;41,79
Afrânio;2600203;PE;42,42
Afuá;1500305;PA;32,19
Agrestina;2600302;PE;89,94
Agricolândia;2200103;PI;81,13
Agrolândia;4200200;SC;99,28
Agronômica;4200309;SC;84,7
Água Azul do Norte;1500347;PA;56,96
Água Boa;3100609;MG;55,03
Água Boa;5100201;MT;88,21
Água Branca;2200202;PI;97,31
Água Branca;2500106;PB;71,01
Água Branca;2700102;AL;48,6
Água Clara;5000203;MS;88,24
Água Comprida;3100708;MG;89,66
Água Doce;4200408;SC;82,55
Água Doce do Maranhão;2100154;MA;45,41
Água Doce do Norte;3200169;ES;71,77
Água Fria;2900405;BA;63,95
Água Fria de Goiás;5200175;GO;64
Água Limpa;5200209;GO;83,89
Água Nova;2400406;RN;88,4
Água Preta;2600401;PE;70,99
Água Santa;4300059;RS;91,61
Aguaí;3500303;SP;94,97
Aguanil;3100807;MG;94,45
Águas Belas;2600500;PE;62,44
Águas da Prata;3500402;SP;98,48
Águas de Chapecó;4200507;SC;60,91
Águas de Lindóia;3500501;SP;99,29
Águas de Santa Bárbara;3500550;SP;96,94
Águas de São Pedro;3500600;SP;100
Águas Formosas;3100906;MG;78,58
Águas Frias;4200556;SC;65,89
Águas Lindas de Goiás;5200258;GO;97,88
Águas Mornas;4200606;SC;97,28
Águas Vermelhas;3101003;MG;81,55
Agudo;4300109;RS;86,53
Agudos;3500709;SP;97,92
Agudos do Sul;4100301;PR;88,27
Águia Branca;3200136;ES;53,08
Aguiar;2500205;PB;58,77
Aguiarnópolis;1700301;TO;86,25
Aimorés;3101102;MG;82,56
Aiquara;2900603;BA;80,54
Aiuaba;2300408;CE;59,44
Aiuruoca;3101201;MG;87,63
Ajuricaba;4300208;RS;85,07
Alagoa;3101300;MG;85,16
Alagoa Grande;2500304;PB;78,85
Alagoa Nova;2500403;PB;61,22
Alagoinha;2500502;PB;78,4
Alagoinha;2600609;PE;81,09
Alagoinha do Piauí;2200251;PI;60,74
Alagoinhas;2900702;BA;92,65
Alambari;3500758;SP;97,1
Albertina;3101409;MG;95,07
Alcântara;2100204;MA;29,12
Alcântaras;2300507;CE;81,19
Alcantil;2500536;PB;69,73
Alcinópolis;5000252;MS;82,15
Alcobaça;2900801;BA;61,04
Aldeias Altas;2100303;MA;59,99
Alecrim;4300307;RS;89,54
Alegre;3200201;ES;88,45
Alegrete;4300406;RS;91,46
Alegrete do Piauí;2200277;PI;71,16
Alegria;4300455;RS;68,41
Além Paraíba;3101508;MG;97,78
Alenquer;1500404;PA;49,25
Alexandria;2400505;RN;76,78
Alexânia;5200308;GO;91,53
Alfenas;3101607;MG;98,29
Alfredo Chaves;3200300;ES;96,09
Alfredo Marcondes;3500808;SP;94,44
Alfredo Vasconcelos;3101631;MG;96,31
Alfredo Wagner;4200705;SC;78,63
Algodão de Jandaíra;2500577;PB;59,71
Alhandra;2500601;PB;87,31
Aliança;2600708;PE;85,58
Aliança do Tocantins;1700350;TO;85,58
Almadina;2900900;BA;85,02
Almas;1700400;TO;77,15
Almeirim;1500503;PA;68,98
Almenara;3101706;MG;83,75
Almino Afonso;2400604;RN;75,09
Almirante Tamandaré;4100400;PR;99,39
Almirante Tamandaré do Sul;4300471;RS;85,46
Aloândia;5200506;GO;91,26
Alpercata;3101805;MG;83,85
Alpestre;4300505;RS;44,32
Alpinópolis;3101904;MG;94,75
Alta Floresta;5100250;MT;88,66
Alta Floresta D'Oeste;1100015;RO;61,48
Altair;3500907;SP;91,63
Altamira;1500602;PA;82,74
Altamira do Maranhão;2100402;MA;73,95
Altamira do Paraná;4100459;PR;73,16
Altaneira;2300606;CE;91,19
Alterosa;3102001;MG;88,88
Altinho;2600807;PE;70,83
Altinópolis;3501004;SP;95,72
Alto Alegre;1400050;RR;31,32
Alto Alegre;3501103;SP;93,08
Alto Alegre;4300554;RS;83,21
Alto Alegre do Maranhão;2100436;MA;73,26
Alto Alegre do Pindaré;2100477;MA;69,64
Alto Alegre dos Parecis;1100379;RO;44,82
Alto Araguaia;5100300;MT;89,33
Alto Bela Vista;4200754;SC;93,38
Alto Boa Vista;5100359;MT;82,43
Alto Caparaó;3102050;MG;92,74
