Municípios;Código municipal;UF;% do total geral
Abadia de Goiás;5200050;GO;17,5
Abadia dos Dourados;3100104;MG;70,45
Abadiânia;5200100;GO;53,96
Abaeté;3100203;MG;85,19
Abaetetuba;1500107;PA;4,49
Abaiara;2300101;CE;3
Abaíra;2900108;BA;24,69
Abaré;2900207;BA;53,38
Abatiá;4100103;PR;45,76
Abdon Batista;4200051;SC;32,2
Abel Figueiredo;1500131;PA;2,5
Abelardo Luz;4200101;SC;2,34
Abre Campo;3100302;MG;53,47
Abreu e Lima;2600054;PE;37,11
Abreulândia;1700251;TO;1,08
Acaiaca;3100401;MG;42,34
Açailândia;2100055;MA;10,31
Acajutiba;2900306;BA;0,19
Acará;1500206;PA;2,2
Acarape;2300150;CE;32,28
Acaraú;2300200;CE;8,31
Acari;2400109;RN;84,17
Acauã;2200053;PI;0,09
Aceguá;4300034;RS;13,95
Acopiara;2300309;CE;28,71
Acorizal;5100102;MT;1,54
Acrelândia;1200013;AC;0,85
Acreúna;5200134;GO;34,24
Açu;2400208;RN;2,63
Açucena;3100500;MG;46,15
Adamantina;3500105;SP;97,04
Adelândia;5200159;GO;0,55
Adolfo;3500204;SP;92,97
Adrianópolis;4100202;PR;32,51
Adustina;2900355;BA;40,91
Afogados da Ingazeira;2600104;PE;69,81
Afonso Bezerra;2400307;RN;36,34
Afonso Cláudio;3200102;ES;46,17
Afonso Cunha;2100105;MA;5,94
Afrânio;2600203;PE;21,13
Afuá;1500305;PA;2,43
Agrestina;2600302;PE;71,42
Agricolândia;2200103;PI;5,57
Agrolândia;4200200;SC;53,42
Agronômica;4200309;SC;40,87
Água Azul do Norte;1500347;PA;0,2
Água Boa;3100609;MG;36,18
Água Boa;5100201;MT;7,97
Água Branca;2200202;PI;26,04
Água Branca;2500106;PB;36,67
Água Branca;2700102;AL;29,44
Água Clara;5000203;MS;1
Água Comprida;3100708;MG;74,57
Água Doce;4200408;SC;21,48
Água Doce do Maranhão;2100154;MA;7,11
Água Doce do Norte;3200169;ES;35,89
Água Fria;2900405;BA;4,75
Água Fria de Goiás;5200175;GO;1,84
Água Limpa;5200209;GO;1,48
Água Nova;2400406;RN;0,81
Água Preta;2600401;PE;48,33
Água Santa;4300059;RS;6,58
Aguaí;3500303;SP;93,22
Aguanil;3100807;MG;73,49
Águas Belas;2600500;PE;45,51
Águas da Prata;3500402;SP;88,37
Águas de Chapecó;4200507;SC;11,65
Águas de Lindóia;3500501;SP;92,76
Águas de Santa Bárbara;3500550;SP;60,26
Águas de São Pedro;3500600;SP;99,65
Águas Formosas;3100906;MG;76,88
Águas Frias;4200556;SC;1,17
Águas Lindas de Goiás;5200258;GO;51,09
Águas Mornas;4200606;SC;0,89
Águas Vermelhas;3101003;MG;39,83
Agudo;4300109;RS;49,67
Agudos;3500709;SP;94,28
Agudos do Sul;4100301;PR;19,98
Águia Branca;3200136;ES;33,08
Aguiar;2500205;PB;45,37
Aguiarnópolis;1700301;TO;31,81
Aimorés;3101102;MG;78,94
Aiquara;2900603;BA;68,59
Aiuaba;2300408;CE;17,02
Aiuruoca;3101201;MG;40,95
Ajuricaba;4300208;RS;6,25
Alagoa;3101300;MG;53,22
Alagoa Grande;2500304;PB;49,41
Alagoa Nova;2500403;PB;41,71
Alagoinha;2500502;PB;15,01
Alagoinha;2600609;PE;50,41
Alagoinha do Piauí;2200251;PI;15,88
Alagoinhas;2900702;BA;63,77
Alambari;3500758;SP;52,73
Albertina;3101409;MG;70,92
Alcântara;2100204;MA;5,44
Alcântaras;2300507;CE;22,09
Alcantil;2500536;PB;4,55
Alcinópolis;5000252;MS;59,27
Alcobaça;2900801;BA;27,44
Aldeias Altas;2100303;MA;7,44
Alecrim;4300307;RS;0,67
Alegre;3200201;ES;60,82
Alegrete;4300406;RS;76,45
Alegrete do Piauí;2200277;PI;0,69
Alegria;4300455;RS;0,55
Além Paraíba;3101508;MG;69,04
Alenquer;1500404;PA;5,94
