Municípios;Código municipal;UF;% do total geral
Abadia de Goiás;5200050;GO;31,66
Abadia dos Dourados;3100104;MG;67,56
Abadiânia;5200100;GO;57,85
Abaeté;3100203;MG;56,38
Abaetetuba;1500107;PA;83,83
Abaiara;2300101;CE;80,15
Abaíra;2900108;BA;88,92
Abaré;2900207;BA;83,02
Abatiá;4100103;PR;65,65
Abdon Batista;4200051;SC;80,23
Abel Figueiredo;1500131;PA;76,74
Abelardo Luz;4200101;SC;65,32
Abre Campo;3100302;MG;72,49
Abreu e Lima;2600054;PE;73,79
Abreulândia;1700251;TO;67,75
Acaiaca;3100401;MG;72,73
Açailândia;2100055;MA;61,94
Acajutiba;2900306;BA;83,96
Acará;1500206;PA;91,78
Acarape;2300150;CE;76,54
Acaraú;2300200;CE;80,01
Acari;2400109;RN;65,27
Acauã;2200053;PI;91,69
Aceguá;4300034;RS;76,87
Acopiara;2300309;CE;62,49
Acorizal;5100102;MT;82,02
Acrelândia;1200013;AC;72,64
Acreúna;5200134;GO;57,98
Açu;2400208;RN;64,92
Açucena;3100500;MG;82,66
Adamantina;3500105;SP;57,61
Adelândia;5200159;GO;61,49
Adolfo;3500204;SP;45,33
Adrianópolis;4100202;PR;75,8
Adustina;2900355;BA;86,92
Afogados da Ingazeira;2600104;PE;66
Afonso Bezerra;2400307;RN;82,48
Afonso Cláudio;3200102;ES;67,02
Afonso Cunha;2100105;MA;88,33
Afrânio;2600203;PE;88,01
Afuá;1500305;PA;93,35
Agrestina;2600302;PE;67,36
Agricolândia;2200103;PI;84,33
Agrolândia;4200200;SC;65,76
Agronômica;4200309;SC;66,62
Água Azul do Norte;1500347;PA;60,76
Água Boa;3100609;MG;72,87
Água Boa;5100201;MT;43,02
Água Branca;2200202;PI;70,02
Água Branca;2500106;PB;76,28
Água Branca;2700102;AL;86,01
Água Clara;5000203;MS;43,82
Água Comprida;3100708;MG;71,41
Água Doce;4200408;SC;64,66
Água Doce do Maranhão;2100154;MA;84,09
Água Doce do Norte;3200169;ES;67,57
Água Fria;2900405;BA;88,65
Água Fria de Goiás;5200175;GO;63,24
Água Limpa;5200209;GO;61,63
Água Nova;2400406;RN;83,05
Água Preta;2600401;PE;75,25
