Municípios;Código municipal;UF;habitantes por domicílio
Abadia de Goiás;5200050;GO;3
Abadia dos Dourados;3100104;MG;2,43
Abadiânia;5200100;GO;2,75
Abaeté;3100203;MG;2,5
Abaetetuba;1500107;PA;3,67
Abaiara;2300101;CE;2,87
Abaíra;2900108;BA;2,67
Abaré;2900207;BA;3,18
Abatiá;4100103;PR;2,65
Abdon Batista;4200051;SC;2,68
Abel Figueiredo;1500131;PA;3,06
Abelardo Luz;4200101;SC;2,87
Abre Campo;3100302;MG;2,78
Abreu e Lima;2600054;PE;2,79
Abreulândia;1700251;TO;2,78
Acaiaca;3100401;MG;2,59
Açailândia;2100055;MA;3,09
Acajutiba;2900306;BA;2,88
Acará;1500206;PA;3,45
Acarape;2300150;CE;3,16
Acaraú;2300200;CE;3,11
Acari;2400109;RN;2,77
Acauã;2200053;PI;2,9
Aceguá;4300034;RS;2,64
Acopiara;2300309;CE;2,74
Acorizal;5100102;MT;2,75
Acrelândia;1200013;AC;3,13
Acreúna;5200134;GO;2,7
Açu;2400208;RN;2,93
Açucena;3100500;MG;2,67
Adamantina;3500105;SP;2,54
Adelândia;5200159;GO;2,49
Adolfo;3500204;SP;2,64
Adrianópolis;4100202;PR;2,69
Adustina;2900355;BA;2,72
Afogados da Ingazeira;2600104;PE;2,71
Afonso Bezerra;2400307;RN;3,21
Afonso Cláudio;3200102;ES;2,66
Afonso Cunha;2100105;MA;3,61
Afrânio;2600203;PE;3,21
Afuá;1500305;PA;4,17
Agrestina;2600302;PE;2,78
Agricolândia;2200103;PI;2,87
Agrolândia;4200200;SC;2,81
Agronômica;4200309;SC;2,71
Água Azul do Norte;1500347;PA;3,2
Água Boa;3100609;MG;2,81
Água Boa;5100201;MT;2,77
Água Branca;2200202;PI;2,99
Água Branca;2500106;PB;2,86
Água Branca;2700102;AL;3,33
Água Clara;5000203;MS;2,97
Água Comprida;3100708;MG;2,56
Água Doce;4200408;SC;2,67
Água Doce do Maranhão;2100154;MA;3,43
Água Doce do Norte;3200169;ES;2,62
Água Fria;2900405;BA;2,66
Água Fria de Goiás;5200175;GO;2,73
Água Limpa;5200209;GO;2,47
Água Nova;2400406;RN;2,97
Água Preta;2600401;PE;3,01
Água Santa;4300059;RS;2,83
Aguaí;3500303;SP;2,79
Aguanil;3100807;MG;2,67
Águas Belas;2600500;PE;3,09
Águas da Prata;3500402;SP;2,57
Águas de Chapecó;4200507;SC;2,65
Águas de Lindóia;3500501;SP;2,62
Águas de Santa Bárbara;3500550;SP;2,64
Águas de São Pedro;3500600;SP;2,41
Águas Formosas;3100906;MG;2,79
Águas Frias;4200556;SC;2,77
Águas Lindas de Goiás;5200258;GO;3,03
Águas Mornas;4200606;SC;2,74
Águas Vermelhas;3101003;MG;3,35
