Municípios;Código municipal;UF;% do total geral
Abadia de Goiás;5200050;GO;68,48
Abadia dos Dourados;3100104;MG;66,08
Abadiânia;5200100;GO;73,19
Abaeté;3100203;MG;67,03
Abaetetuba;1500107;PA;38,89
Abaiara;2300101;CE;14,87
Abaíra;2900108;BA;28,84
Abaré;2900207;BA;13,95
Abatiá;4100103;PR;63,99
Abdon Batista;4200051;SC;78,99
Abel Figueiredo;1500131;PA;25,26
Abelardo Luz;4200101;SC;83,37
Abre Campo;3100302;MG;56,35
Abreu e Lima;2600054;PE;46,42
Abreulândia;1700251;TO;51,19
Acaiaca;3100401;MG;49,17
Açailândia;2100055;MA;34,22
Acajutiba;2900306;BA;24,33
Acará;1500206;PA;22,48
Acarape;2300150;CE;25,39
Acaraú;2300200;CE;28,21
Acari;2400109;RN;24,5
Acauã;2200053;PI;6,01
Aceguá;4300034;RS;78,26
Acopiara;2300309;CE;20,26
Acorizal;5100102;MT;32,77
Acrelândia;1200013;AC;74,68
Acreúna;5200134;GO;73,69
Açu;2400208;RN;27,44
Açucena;3100500;MG;44,81
Adamantina;3500105;SP;87,94
Adelândia;5200159;GO;77,02
Adolfo;3500204;SP;82,67
Adrianópolis;4100202;PR;60,53
Adustina;2900355;BA;10,2
Afogados da Ingazeira;2600104;PE;22,69
Afonso Bezerra;2400307;RN;22,86
Afonso Cláudio;3200102;ES;65,23
Afonso Cunha;2100105;MA;6,13
Afrânio;2600203;PE;13,64
Afuá;1500305;PA;29,83
Agrestina;2600302;PE;18,29
Agricolândia;2200103;PI;17,53
Agrolândia;4200200;SC;95,02
Agronômica;4200309;SC;95,52
Água Azul do Norte;1500347;PA;37,72
Água Boa;3100609;MG;28,72
Água Boa;5100201;MT;82,84
Água Branca;2200202;PI;23,09
Água Branca;2500106;PB;20,17
Água Branca;2700102;AL;17,66
Água Clara;5000203;MS;71,61
Água Comprida;3100708;MG;70,8
Água Doce;4200408;SC;91,9
Água Doce do Maranhão;2100154;MA;13,54
Água Doce do Norte;3200169;ES;51,74
Água Fria;2900405;BA;12,32
Água Fria de Goiás;5200175;GO;53,17
Água Limpa;5200209;GO;75,8
Água Nova;2400406;RN;7,97
Água Preta;2600401;PE;16,69
Água Santa;4300059;RS;87,92
Aguaí;3500303;SP;77,98
Aguanil;3100807;MG;68,37
Águas Belas;2600500;PE;10,97
Águas da Prata;3500402;SP;88,48
Águas de Chapecó;4200507;SC;81,93
Águas de Lindóia;3500501;SP;90,95
Águas de Santa Bárbara;3500550;SP;83,25
Águas de São Pedro;3500600;SP;92,11
Águas Formosas;3100906;MG;38,22
Águas Frias;4200556;SC;89,77
Águas Lindas de Goiás;5200258;GO;69,82
Águas Mornas;4200606;SC;94,88
Águas Vermelhas;3101003;MG;20,09
Agudo;4300109;RS;80,13
Agudos;3500709;SP;83,73
Agudos do Sul;4100301;PR;81,35
