Municípios;Código municipal;UF;% do total geral
Abadia de Goiás;5200050;GO;86,75
Abadia dos Dourados;3100104;MG;71,05
Abadiânia;5200100;GO;77,99
Abaeté;3100203;MG;78,21
Abaetetuba;1500107;PA;77,98
Abaiara;2300101;CE;73,61
Abaíra;2900108;BA;85,39
Abaré;2900207;BA;71,36
Abatiá;4100103;PR;70,88
Abdon Batista;4200051;SC;89,13
Abel Figueiredo;1500131;PA;85,99
Abelardo Luz;4200101;SC;88,52
Abre Campo;3100302;MG;80,6
Abreu e Lima;2600054;PE;87,3
Abreulândia;1700251;TO;78,57
Acaiaca;3100401;MG;70,27
Açailândia;2100055;MA;87,28
Acajutiba;2900306;BA;74,7
Acará;1500206;PA;49,5
Acarape;2300150;CE;74,63
Acaraú;2300200;CE;81
Acari;2400109;RN;85,83
Acauã;2200053;PI;79,67
Aceguá;4300034;RS;82,57
Acopiara;2300309;CE;74,93
Acorizal;5100102;MT;73,17
Acrelândia;1200013;AC;80,65
Acreúna;5200134;GO;85,06
Açu;2400208;RN;84,68
Açucena;3100500;MG;75,45
Adamantina;3500105;SP;88,27
Adelândia;5200159;GO;81,07
Adolfo;3500204;SP;82
Adrianópolis;4100202;PR;79,94
Adustina;2900355;BA;76,18
Afogados da Ingazeira;2600104;PE;82,07
Afonso Bezerra;2400307;RN;81,94
Afonso Cláudio;3200102;ES;72,42
Afonso Cunha;2100105;MA;60,79
Afrânio;2600203;PE;68,43
Afuá;1500305;PA;50,62
Agrestina;2600302;PE;72,51
Agricolândia;2200103;PI;76,78
Agrolândia;4200200;SC;91,04
Agronômica;4200309;SC;94,89
Água Azul do Norte;1500347;PA;84,94
Água Boa;3100609;MG;64,41
Água Boa;5100201;MT;93,61
Água Branca;2200202;PI;79,65
Água Branca;2500106;PB;81,3
Água Branca;2700102;AL;73,6
Água Clara;5000203;MS;92,72
Água Comprida;3100708;MG;87,83
Água Doce;4200408;SC;87,04
Água Doce do Maranhão;2100154;MA;75,72
Água Doce do Norte;3200169;ES;71,75
Água Fria;2900405;BA;72,43
Água Fria de Goiás;5200175;GO;84,09
Água Limpa;5200209;GO;83,56
Água Nova;2400406;RN;85,27
Água Preta;2600401;PE;81,81
Água Santa;4300059;RS;87,34
Aguaí;3500303;SP;89,36
Aguanil;3100807;MG;80,89
Águas Belas;2600500;PE;67,15
Águas da Prata;3500402;SP;85,4
Águas de Chapecó;4200507;SC;81,01
Águas de Lindóia;3500501;SP;93,15
Águas de Santa Bárbara;3500550;SP;92,78
