Municípios;Código municipal;UF;habitantes por km²
Abadia de Goiás;5200050;GO;133,43
Abadia dos Dourados;3100104;MG;7,12
Abadiânia;5200100;GO;16,5
Abaeté;3100203;MG;12,48
Abaetetuba;1500107;PA;98,21
Abaiara;2300101;CE;55,51
Abaíra;2900108;BA;13,55
Abaré;2900207;BA;10,99
Abatiá;4100103;PR;31,66
Abdon Batista;4200051;SC;10,94
Abel Figueiredo;1500131;PA;9,99
Abelardo Luz;4200101;SC;18,23
Abre Campo;3100302;MG;29,6
Abreu e Lima;2600054;PE;779,07
Abreulândia;1700251;TO;1,35
Acaiaca;3100401;MG;38,37
Açailândia;2100055;MA;18,35
Acajutiba;2900306;BA;76,02
Acará;1500206;PA;13,59
Acarape;2300150;CE;107,9
Acaraú;2300200;CE;77,47
Acari;2400109;RN;17,42
Acauã;2200053;PI;5,01
Aceguá;4300034;RS;2,69
Acopiara;2300309;CE;19,95
Acorizal;5100102;MT;5,89
Acrelândia;1200013;AC;7,74
Acreúna;5200134;GO;13,77
Açu;2400208;RN;43,34
Açucena;3100500;MG;10,97
Adamantina;3500105;SP;84,19
Adelândia;5200159;GO;19,91
Adolfo;3500204;SP;20,62
Adrianópolis;4100202;PR;4,64
Adustina;2900355;BA;22,57
Afogados da Ingazeira;2600104;PE;106,54
Afonso Bezerra;2400307;RN;18,81
Afonso Cláudio;3200102;ES;32,6
Afonso Cunha;2100105;MA;16,55
Afrânio;2600203;PE;12,53
Afuá;1500305;PA;4,53
Agrestina;2600302;PE;118,68
Agricolândia;2200103;PI;43,95
Agrolândia;4200200;SC;53,14
Agronômica;4200309;SC;46,66
Água Azul do Norte;1500347;PA;2,54
Água Boa;3100609;MG;9,53
Água Boa;5100201;MT;3,87
Água Branca;2200202;PI;181,46
Água Branca;2500106;PB;38,63
Água Branca;2700102;AL;40,6
Água Clara;5000203;MS;2,15
Água Comprida;3100708;MG;4,28
Água Doce;4200408;SC;4,93
Água Doce do Maranhão;2100154;MA;27,45
Água Doce do Norte;3200169;ES;25,42
Água Fria;2900405;BA;19,52
Água Fria de Goiás;5200175;GO;2,45
Água Limpa;5200209;GO;4,05
Água Nova;2400406;RN;58,12
Água Preta;2600401;PE;49,74
Água Santa;4300059;RS;13,42
Aguaí;3500303;SP;67,58
Aguanil;3100807;MG;18,77
Águas Belas;2600500;PE;46,89
Águas da Prata;3500402;SP;51,65
Águas de Chapecó;4200507;SC;43,27
Águas de Lindóia;3500501;SP;298,21
Águas de Santa Bárbara;3500550;SP;17,74
Águas de São Pedro;3500600;SP;769,66
Águas Formosas;3100906;MG;22,5
Águas Frias;4200556;SC;37,05
Águas Lindas de Goiás;5200258;GO;1.176,61
Águas Mornas;4200606;SC;20,64
