Municípios;Código municipal;UF;Idade mediana
Abadia de Goiás;5200050;GO;31
Abadia dos Dourados;3100104;MG;42
Abadiânia;5200100;GO;35
Abaeté;3100203;MG;40
Abaetetuba;1500107;PA;29
Abaiara;2300101;CE;33
Abaíra;2900108;BA;43
Abaré;2900207;BA;30
Abatiá;4100103;PR;39
Abdon Batista;4200051;SC;42
Abel Figueiredo;1500131;PA;30
Abelardo Luz;4200101;SC;33
Abre Campo;3100302;MG;38
Abreu e Lima;2600054;PE;35
Abreulândia;1700251;TO;34
Acaiaca;3100401;MG;40
Açailândia;2100055;MA;30
Acajutiba;2900306;BA;34
Acará;1500206;PA;27
Acarape;2300150;CE;30
Acaraú;2300200;CE;31
Acari;2400109;RN;38
Acauã;2200053;PI;35
Aceguá;4300034;RS;37
Acopiara;2300309;CE;37
Acorizal;5100102;MT;38
Acrelândia;1200013;AC;28
Acreúna;5200134;GO;35
Açu;2400208;RN;34
Açucena;3100500;MG;40
Adamantina;3500105;SP;40
Adelândia;5200159;GO;42
Adolfo;3500204;SP;39
Adrianópolis;4100202;PR;36
Adustina;2900355;BA;34
Afogados da Ingazeira;2600104;PE;33
Afonso Bezerra;2400307;RN;33
Afonso Cláudio;3200102;ES;38
Afonso Cunha;2100105;MA;25
Afrânio;2600203;PE;32
Afuá;1500305;PA;23
Agrestina;2600302;PE;33
Agricolândia;2200103;PI;37
Agrolândia;4200200;SC;35
Agronômica;4200309;SC;35
Água Azul do Norte;1500347;PA;28
Água Boa;3100609;MG;34
Água Boa;5100201;MT;31
Água Branca;2200202;PI;33
Água Branca;2500106;PB;33
Água Branca;2700102;AL;30
Água Clara;5000203;MS;29
Água Comprida;3100708;MG;40
Água Doce;4200408;SC;37
Água Doce do Maranhão;2100154;MA;30
Água Doce do Norte;3200169;ES;38
Água Fria;2900405;BA;36
Água Fria de Goiás;5200175;GO;35
Água Limpa;5200209;GO;42
Água Nova;2400406;RN;34
Água Preta;2600401;PE;31
Água Santa;4300059;RS;37
Aguaí;3500303;SP;36
Aguanil;3100807;MG;39
Águas Belas;2600500;PE;29
Águas da Prata;3500402;SP;43
Águas de Chapecó;4200507;SC;38
Águas de Lindóia;3500501;SP;41
Águas de Santa Bárbara;3500550;SP;39
Águas de São Pedro;3500600;SP;47
Águas Formosas;3100906;MG;35
Águas Frias;4200556;SC;38
Águas Lindas de Goiás;5200258;GO;28
Águas Mornas;4200606;SC;38
Águas Vermelhas;3101003;MG;32
Agudo;4300109;RS;41
Agudos;3500709;SP;36
Agudos do Sul;4100301;PR;34
Águia Branca;3200136;ES;37
Aguiar;2500205;PB;37
Aguiarnópolis;1700301;TO;30
Aimorés;3101102;MG;38
Aiquara;2900603;BA;37
Aiuaba;2300408;CE;35
Aiuruoca;3101201;MG;42
Ajuricaba;4300208;RS;43
Alagoa;3101300;MG;41
Alagoa Grande;2500304;PB;34
Alagoa Nova;2500403;PB;32
Alagoinha;2500502;PB;32
Alagoinha;2600609;PE;34
Alagoinha do Piauí;2200251;PI;37
Alagoinhas;2900702;BA;35
Alambari;3500758;SP;36
Albertina;3101409;MG;37
