Municípios;Código municipal;UF;%
Abadia de Goiás;5200050;GO;0,02
Abadia dos Dourados;3100104;MG;sem ocorrência
Abadiânia;5200100;GO;sem ocorrência
Abaeté;3100203;MG;sem ocorrência
Abaetetuba;1500107;PA;sem ocorrência
Abaiara;2300101;CE;16,05
Abaíra;2900108;BA;14,71
Abaré;2900207;BA;sem ocorrência
Abatiá;4100103;PR;sem ocorrência
Abdon Batista;4200051;SC;sem ocorrência
Abel Figueiredo;1500131;PA;sem ocorrência
Abelardo Luz;4200101;SC;sem ocorrência
Abre Campo;3100302;MG;sem ocorrência
Abreu e Lima;2600054;PE;4,71
Abreulândia;1700251;TO;30,05
Acaiaca;3100401;MG;sem ocorrência
Açailândia;2100055;MA;sem ocorrência
Acajutiba;2900306;BA;sem ocorrência
Acará;1500206;PA;sem ocorrência
Acarape;2300150;CE;sem ocorrência
Acaraú;2300200;CE;sem ocorrência
Acari;2400109;RN;sem ocorrência
Acauã;2200053;PI;sem ocorrência
Aceguá;4300034;RS;sem ocorrência
Acopiara;2300309;CE;sem ocorrência
Acorizal;5100102;MT;sem ocorrência
Acrelândia;1200013;AC;sem ocorrência
Acreúna;5200134;GO;sem ocorrência
Açu;2400208;RN;0,01
Açucena;3100500;MG;1,52
Adamantina;3500105;SP;sem ocorrência
Adelândia;5200159;GO;sem ocorrência
Adolfo;3500204;SP;sem ocorrência
Adrianópolis;4100202;PR;sem ocorrência
Adustina;2900355;BA;sem ocorrência
Afogados da Ingazeira;2600104;PE;sem ocorrência
Afonso Bezerra;2400307;RN;sem ocorrência
Afonso Cláudio;3200102;ES;sem ocorrência
Afonso Cunha;2100105;MA;67,82
Afrânio;2600203;PE;sem ocorrência
Afuá;1500305;PA;78,3
Agrestina;2600302;PE;sem ocorrência
Agricolândia;2200103;PI;sem ocorrência
Agrolândia;4200200;SC;sem ocorrência
Agronômica;4200309;SC;sem ocorrência
Água Azul do Norte;1500347;PA;sem ocorrência
Água Boa;3100609;MG;sem ocorrência
Água Boa;5100201;MT;sem ocorrência
Água Branca;2200202;PI;sem ocorrência
Água Branca;2500106;PB;sem ocorrência
Água Branca;2700102;AL;sem ocorrência
Água Clara;5000203;MS;sem ocorrência
Água Comprida;3100708;MG;sem ocorrência
Água Doce;4200408;SC;sem ocorrência
Água Doce do Maranhão;2100154;MA;49,75
Água Doce do Norte;3200169;ES;sem ocorrência
Água Fria;2900405;BA;sem ocorrência
Água Fria de Goiás;5200175;GO;sem ocorrência
Água Limpa;5200209;GO;sem ocorrência
Água Nova;2400406;RN;sem ocorrência
