Municípios;Código municipal;UF;%
Abadia de Goiás;5200050;GO;96,46
Abadia dos Dourados;3100104;MG;70,03
Abadiânia;5200100;GO;75,81
Abaeté;3100203;MG;89,35
Abaetetuba;1500107;PA;62,2
Abaiara;2300101;CE;55,51
Abaíra;2900108;BA;48,69
Abaré;2900207;BA;55,89
Abatiá;4100103;PR;75,57
Abdon Batista;4200051;SC;45,15
Abel Figueiredo;1500131;PA;87,45
Abelardo Luz;4200101;SC;65,44
Abre Campo;3100302;MG;61
Abreu e Lima;2600054;PE;97,8
Abreulândia;1700251;TO;58,15
Acaiaca;3100401;MG;72,5
Açailândia;2100055;MA;88,77
Acajutiba;2900306;BA;75,01
Acará;1500206;PA;22,16
Acarape;2300150;CE;62,43
Acaraú;2300200;CE;44,27
Acari;2400109;RN;87,1
Acauã;2200053;PI;23,91
Aceguá;4300034;RS;36,71
Acopiara;2300309;CE;54,56
Acorizal;5100102;MT;59,61
Acrelândia;1200013;AC;55,38
Acreúna;5200134;GO;94,35
Açu;2400208;RN;75,81
Açucena;3100500;MG;50,55
Adamantina;3500105;SP;96,68
Adelândia;5200159;GO;86,24
Adolfo;3500204;SP;92,05
Adrianópolis;4100202;PR;33,12
Adustina;2900355;BA;50,46
Afogados da Ingazeira;2600104;PE;79,89
Afonso Bezerra;2400307;RN;53,3
Afonso Cláudio;3200102;ES;54,02
Afonso Cunha;2100105;MA;49,4
Afrânio;2600203;PE;32,23
Afuá;1500305;PA;31,44
Agrestina;2600302;PE;79,15
Agricolândia;2200103;PI;81,19
Agrolândia;4200200;SC;75,2
Agronômica;4200309;SC;59,31
Água Azul do Norte;1500347;PA;51,45
Água Boa;3100609;MG;53,55
Água Boa;5100201;MT;83,93
Água Branca;2200202;PI;89,15
Água Branca;2500106;PB;48,14
Água Branca;2700102;AL;32,17
Água Clara;5000203;MS;82,13
Água Comprida;3100708;MG;78,32
Água Doce;4200408;SC;54
Água Doce do Maranhão;2100154;MA;24,76
Água Doce do Norte;3200169;ES;61,8
Água Fria;2900405;BA;40,95
Água Fria de Goiás;5200175;GO;61,81
Água Limpa;5200209;GO;78,42
Água Nova;2400406;RN;65,34
Água Preta;2600401;PE;65,23
Água Santa;4300059;RS;43,53
Aguaí;3500303;SP;93,21
Aguanil;3100807;MG;78,2
Águas Belas;2600500;PE;64,93
Águas da Prata;3500402;SP;87,65
Águas de Chapecó;4200507;SC;59,36
Águas de Lindóia;3500501;SP;87,16
Águas de Santa Bárbara;3500550;SP;87,99
Águas de São Pedro;3500600;SP;100
Águas Formosas;3100906;MG;78,58
Águas Frias;4200556;SC;45,97
Águas Lindas de Goiás;5200258;GO;99,77
Águas Mornas;4200606;SC;54,37
Águas Vermelhas;3101003;MG;73,66
Agudo;4300109;RS;51,07
Agudos;3500709;SP;95,68
Agudos do Sul;4100301;PR;41,38
Águia Branca;3200136;ES;34,63
Aguiar;2500205;PB;56,95
Aguiarnópolis;1700301;TO;83,3
Aimorés;3101102;MG;81,57
Aiquara;2900603;BA;58,4
Aiuaba;2300408;CE;40,32
Aiuruoca;3101201;MG;50,15
Ajuricaba;4300208;RS;64,17
Alagoa;3101300;MG;52,46
Alagoa Grande;2500304;PB;64,19
Alagoa Nova;2500403;PB;55,13
Alagoinha;2500502;PB;69,7
Alagoinha;2600609;PE;60,54
Alagoinha do Piauí;2200251;PI;56,02
Alagoinhas;2900702;BA;87,72
Alambari;3500758;SP;74,22
Albertina;3101409;MG;71,38
Alcântara;2100204;MA;27
Alcântaras;2300507;CE;35,61
Alcantil;2500536;PB;47,01
Alcinópolis;5000252;MS;65,09
Alcobaça;2900801;BA;52,41
Aldeias Altas;2100303;MA;67,49
Alecrim;4300307;RS;41,19
Alegre;3200201;ES;76,83
Alegrete;4300406;RS;90,6
Alegrete do Piauí;2200277;PI;65,56
Alegria;4300455;RS;46,59
Além Paraíba;3101508;MG;94,78
Alenquer;1500404;PA;50,67
Alexandria;2400505;RN;72,94
Alexânia;5200308;GO;92,23
Alfenas;3101607;MG;94,88
Alfredo Chaves;3200300;ES;50,55
Alfredo Marcondes;3500808;SP;84,16
Alfredo Vasconcelos;3101631;MG;70,18
Alfredo Wagner;4200705;SC;38,35
Algodão de Jandaíra;2500577;PB;59,02
Alhandra;2500601;PB;82,66
Aliança;2600708;PE;80,47
Aliança do Tocantins;1700350;TO;84,52
Almadina;2900900;BA;84,9
Almas;1700400;TO;81,46
Almeirim;1500503;PA;65,64
Almenara;3101706;MG;84,88
Almino Afonso;2400604;RN;71,69
Almirante Tamandaré;4100400;PR;95,6
Almirante Tamandaré do Sul;4300471;RS;51,65
Aloândia;5200506;GO;88,14
Alpercata;3101805;MG;81,96
Alpestre;4300505;RS;36,18
Alpinópolis;3101904;MG;82,75
Alta Floresta;5100250;MT;87,71
Alta Floresta D'Oeste;1100015;RO;60,35
Altair;3500907;SP;85,86
Altamira;1500602;PA;82,52
Altamira do Maranhão;2100402;MA;46,01
Altamira do Paraná;4100459;PR;54,15
Altaneira;2300606;CE;73,19
Alterosa;3102001;MG;75,47
Altinho;2600807;PE;66,71
Altinópolis;3501004;SP;90,55
Alto Alegre;1400050;RR;22,58
Alto Alegre;3501103;SP;80,73
Alto Alegre;4300554;RS;48,72
Alto Alegre do Maranhão;2100436;MA;80,46
Alto Alegre do Pindaré;2100477;MA;54,76
Alto Alegre dos Parecis;1100379;RO;43,44
Alto Araguaia;5100300;MT;87,73
Alto Bela Vista;4200754;SC;35,67
Alto Boa Vista;5100359;MT;67,19
Alto Caparaó;3102050;MG;80,41
Alto do Rodrigues;2400703;RN;72,69
Alto Feliz;4300570;RS;36,13
Alto Garças;5100409;MT;92,64
Alto Horizonte;5200555;GO;88,57
Alto Jequitibá;3153509;MG;59,35
Alto Longá;2200301;PI;49,89
Alto Paraguai;5100508;MT;66,91
Alto Paraíso;1100403;RO;49,99
Alto Paraíso;4128625;PR;63,6
Alto Paraíso de Goiás;5200605;GO;74,96
Alto Paraná;4100608;PR;86,35
Alto Parnaíba;2100501;MA;75,27
Alto Piquiri;4100707;PR;87,61
Alto Rio Doce;3102100;MG;52,62
