Municípios;Código municipal;UF;homens para cada 100 mulheres
Abadia de Goiás;5200050;GO;103,23
Abadia dos Dourados;3100104;MG;101,61
Abadiânia;5200100;GO;104,56
Abaeté;3100203;MG;97,62
Abaetetuba;1500107;PA;100,51
Abaiara;2300101;CE;96,55
Abaíra;2900108;BA;95,48
Abaré;2900207;BA;97,39
Abatiá;4100103;PR;99,04
Abdon Batista;4200051;SC;102,81
Abel Figueiredo;1500131;PA;102,98
Abelardo Luz;4200101;SC;100,51
Abre Campo;3100302;MG;101,75
Abreu e Lima;2600054;PE;91,16
Abreulândia;1700251;TO;112,72
Acaiaca;3100401;MG;94,28
Açailândia;2100055;MA;97,51
Acajutiba;2900306;BA;95,31
Acará;1500206;PA;107,3
Acarape;2300150;CE;96,32
Acaraú;2300200;CE;100,44
Acari;2400109;RN;93,16
Acauã;2200053;PI;104,2
Aceguá;4300034;RS;105,42
Acopiara;2300309;CE;97,93
Acorizal;5100102;MT;110,67
Acrelândia;1200013;AC;104,18
Acreúna;5200134;GO;104,24
Açu;2400208;RN;94,64
Açucena;3100500;MG;104,74
Adamantina;3500105;SP;92,9
Adelândia;5200159;GO;101,67
Adolfo;3500204;SP;97,95
Adrianópolis;4100202;PR;102,39
Adustina;2900355;BA;99,12
Afogados da Ingazeira;2600104;PE;93,58
Afonso Bezerra;2400307;RN;101,36
Afonso Cláudio;3200102;ES;100,85
Afonso Cunha;2100105;MA;103,92
Afrânio;2600203;PE;99,27
Afuá;1500305;PA;109,14
Agrestina;2600302;PE;92,68
Agricolândia;2200103;PI;93,27
Agrolândia;4200200;SC;99,78
Agronômica;4200309;SC;101,63
Água Azul do Norte;1500347;PA;115,65
Água Boa;3100609;MG;102,59
Água Boa;5100201;MT;109,31
Água Branca;2200202;PI;91,61
Água Branca;2500106;PB;98,03
Água Branca;2700102;AL;95,64
Água Clara;5000203;MS;102,5
Água Comprida;3100708;MG;103,08
Água Doce;4200408;SC;104,65
Água Doce do Maranhão;2100154;MA;104,69
Água Doce do Norte;3200169;ES;101,04
Água Fria;2900405;BA;94,43
Água Fria de Goiás;5200175;GO;109,83
Água Limpa;5200209;GO;99,57
Água Nova;2400406;RN;95,88
Água Preta;2600401;PE;93,64
Água Santa;4300059;RS;97,28
Aguaí;3500303;SP;98,05
Aguanil;3100807;MG;98,41
Águas Belas;2600500;PE;94,72
Águas da Prata;3500402;SP;92,25
Águas de Chapecó;4200507;SC;101,2
Águas de Lindóia;3500501;SP;94,7
Águas de Santa Bárbara;3500550;SP;99,42
Águas de São Pedro;3500600;SP;86,45
Águas Formosas;3100906;MG;100,94
Águas Frias;4200556;SC;104,39
Águas Lindas de Goiás;5200258;GO;97,85
Águas Mornas;4200606;SC;100,68
Águas Vermelhas;3101003;MG;103,49
Agudo;4300109;RS;96,44
