Municípios;Código municipal;UF;%
Abadia de Goiás;5200050;GO;8,88
Abadia dos Dourados;3100104;MG;-0,55
Abadiânia;5200100;GO;0,75
Abaeté;3100203;MG;-0,01
Abaetetuba;1500107;PA;0,96
Abaiara;2300101;CE;-0,34
Abaíra;2900108;BA;-1,58
Abaré;2900207;BA;0,23
Abatiá;4100103;PR;-0,58
Abdon Batista;4200051;SC;-0,17
Abel Figueiredo;1500131;PA;-0,83
Abelardo Luz;4200101;SC;0,14
Abre Campo;3100302;MG;0,38
Abreu e Lima;2600054;PE;0,35
Abreulândia;1700251;TO;0,62
Acaiaca;3100401;MG;-0,02
Açailândia;2100055;MA;0,2
Acajutiba;2900306;BA;-0,46
Acará;1500206;PA;0,81
Acarape;2300150;CE;0,22
Acaraú;2300200;CE;1,11
Acari;2400109;RN;-0,34
Acauã;2200053;PI;-0,42
Aceguá;4300034;RS;-0,44
Acopiara;2300309;CE;-1,09
Acorizal;5100102;MT;-0,7
Acrelândia;1200013;AC;0,94
Acreúna;5200134;GO;0,52
Açu;2400208;RN;0,5
Açucena;3100500;MG;-1,15
Adamantina;3500105;SP;0,22
Adelândia;5200159;GO;-0,63
Adolfo;3500204;SP;1,69
Adrianópolis;4100202;PR;-0,16
Adustina;2900355;BA;-0,92
Afogados da Ingazeira;2600104;PE;1,15
Afonso Bezerra;2400307;RN;0
Afonso Cláudio;3200102;ES;-0,11
Afonso Cunha;2100105;MA;0,33
Afrânio;2600203;PE;0,5
Afuá;1500305;PA;0,63
Agrestina;2600302;PE;0,4
Agricolândia;2200103;PI;-0,26
Agrolândia;4200200;SC;1,38
Agronômica;4200309;SC;1,97
Água Azul do Norte;1500347;PA;-2,68
Água Boa;3100609;MG;-1,73
Água Boa;5100201;MT;2,85
Água Branca;2200202;PI;0,55
Água Branca;2500106;PB;-0,1
Água Branca;2700102;AL;-0,17
Água Clara;5000203;MS;2,19
Água Comprida;3100708;MG;0,34
Água Doce;4200408;SC;-0,56
Água Doce do Maranhão;2100154;MA;0,39
Água Doce do Norte;3200169;ES;0,19
Água Fria;2900405;BA;-0,82
Água Fria de Goiás;5200175;GO;-0,22
Água Limpa;5200209;GO;-0,67
Água Nova;2400406;RN;-0,1
Água Preta;2600401;PE;-1,85
Água Santa;4300059;RS;0,42
Aguaí;3500303;SP;-0,02
Aguanil;3100807;MG;0,6
Águas Belas;2600500;PE;0,27
Águas da Prata;3500402;SP;-0,24
Águas de Chapecó;4200507;SC;-0,1
Águas de Lindóia;3500501;SP;0,31
Águas de Santa Bárbara;3500550;SP;2,09
Águas de São Pedro;3500600;SP;0,22
Águas Formosas;3100906;MG;-0,01
Águas Frias;4200556;SC;1,27
Águas Lindas de Goiás;5200258;GO;2,94
Águas Mornas;4200606;SC;1,64
Águas Vermelhas;3101003;MG;0,82
Agudo;4300109;RS;-0,35
Agudos;3500709;SP;0,73
Agudos do Sul;4100301;PR;1,79
Águia Branca;3200136;ES;0,17
Aguiar;2500205;PB;-0,94
Aguiarnópolis;1700301;TO;-1,14
Aimorés;3101102;MG;0,1
Aiquara;2900603;BA;-0,37
Aiuaba;2300408;CE;-1,17
Aiuruoca;3101201;MG;0,1
Ajuricaba;4300208;RS;-0,64
Alagoa;3101300;MG;0,12
Alagoa Grande;2500304;PB;-0,72
Alagoa Nova;2500403;PB;0,47
Alagoinha;2500502;PB;0,06
Alagoinha;2600609;PE;-0,01
Alagoinha do Piauí;2200251;PI;-0,61
Alagoinhas;2900702;BA;0,55
Alambari;3500758;SP;1,93
Albertina;3101409;MG;0,11
Alcântara;2100204;MA;-1,27
Alcântaras;2300507;CE;0,37
Alcantil;2500536;PB;0,52
Alcinópolis;5000252;MS;-0,06
Alcobaça;2900801;BA;0,98
Aldeias Altas;2100303;MA;-0,23
Alecrim;4300307;RS;-1,16
Alegre;3200201;ES;-0,34
Alegrete;4300406;RS;-0,58
Alegrete do Piauí;2200277;PI;-0,24
Alegria;4300455;RS;-1,34
Além Paraíba;3101508;MG;-0,93
Alenquer;1500404;PA;2,33
Alexandria;2400505;RN;0,08
Alexânia;5200308;GO;1,05
Alfenas;3101607;MG;0,57
Alfredo Chaves;3200300;ES;-0,07
Alfredo Marcondes;3500808;SP;1,12
Alfredo Vasconcelos;3101631;MG;1,1
Alfredo Wagner;4200705;SC;0,9
Algodão de Jandaíra;2500577;PB;1,64
Alhandra;2500601;PB;1,56
Aliança;2600708;PE;-0,38
Aliança do Tocantins;1700350;TO;-0,8
Almadina;2900900;BA;-1,56
Almas;1700400;TO;-1,28
Almeirim;1500503;PA;0,16
Almenara;3101706;MG;0,34
Almino Afonso;2400604;RN;-0,32
Almirante Tamandaré;4100400;PR;1,25
Almirante Tamandaré do Sul;4300471;RS;-0,4
Aloândia;5200506;GO;-0,32
Alpercata;3101805;MG;-0,32
Alpestre;4300505;RS;-1
Alpinópolis;3101904;MG;-0,09
Alta Floresta;5100250;MT;1,48
Alta Floresta D'Oeste;1100015;RO;-1,05
Altair;3500907;SP;-0,83
Altamira;1500602;PA;2,04
Altamira do Maranhão;2100402;MA;-1,15
Altamira do Paraná;4100459;PR;-1,5
Altaneira;2300606;CE;-0,09
Alterosa;3102001;MG;0,12
Altinho;2600807;PE;-0,64
Altinópolis;3501004;SP;0,62
Alto Alegre;1400050;RR;2,1
Alto Alegre;3501103;SP;-0,55
Alto Alegre;4300554;RS;-0,22
Alto Alegre do Maranhão;2100436;MA;-0,38
Alto Alegre do Pindaré;2100477;MA;-1,56
Alto Alegre dos Parecis;1100379;RO;-0,91
Alto Araguaia;5100300;MT;0,79
Alto Bela Vista;4200754;SC;-0,64
Alto Boa Vista;5100359;MT;0,77
Alto Caparaó;3102050;MG;0,75
Alto do Rodrigues;2400703;RN;0,12
Alto Feliz;4300570;RS;0,51
Alto Garças;5100409;MT;1,96
Alto Horizonte;5200555;GO;2,51
Alto Jequitibá;3153509;MG;0,08
Alto Longá;2200301;PI;-0,1
Alto Paraguai;5100508;MT;-1,89
Alto Paraíso;1100403;RO;-0,41
