Ano da pesquisa;Grupo de idade;Filhos tidos nos 12 meses antes do Censo;Município;Sigla UF;Código do Município
2010;15 a 19 anos;71;Acrelândia ;AC;1200013
2010;20 a 24 anos;44;Acrelândia ;AC;1200013
2010;25 a 29 anos;50;Acrelândia ;AC;1200013
2010;30 a 34 anos;39;Acrelândia ;AC;1200013
2010;35 a 39 anos;25;Acrelândia ;AC;1200013
2010;40 a 44 anos;0;Acrelândia ;AC;1200013
2010;45 a 49 anos;0;Acrelândia ;AC;1200013
2022;15 a 19 anos;17;Acrelândia ;AC;1200013
2022;20 a 24 anos;53;Acrelândia ;AC;1200013
2022;25 a 29 anos;87;Acrelândia ;AC;1200013
2022;30 a 34 anos;32;Acrelândia ;AC;1200013
2022;35 a 39 anos;22;Acrelândia ;AC;1200013
2022;40 a 44 anos;3;Acrelândia ;AC;1200013
2022;45 a 49 anos;6;Acrelândia ;AC;1200013
