Ano da pesquisa;Grupo de idade;Filhos tidos nos 12 meses antes do Censo;Município;Sigla UF;Código do Município
2010;15 a 19 anos;418;Altamira ;PA;1500602
2010;20 a 24 anos;550;Altamira ;PA;1500602
2010;25 a 29 anos;538;Altamira ;PA;1500602
2010;30 a 34 anos;160;Altamira ;PA;1500602
2010;35 a 39 anos;66;Altamira ;PA;1500602
2010;40 a 44 anos;42;Altamira ;PA;1500602
2010;45 a 49 anos;0;Altamira ;PA;1500602
2022;15 a 19 anos;326;Altamira ;PA;1500602
2022;20 a 24 anos;395;Altamira ;PA;1500602
2022;25 a 29 anos;479;Altamira ;PA;1500602
2022;30 a 34 anos;449;Altamira ;PA;1500602
2022;35 a 39 anos;151;Altamira ;PA;1500602
2022;40 a 44 anos;83;Altamira ;PA;1500602
2022;45 a 49 anos;0;Altamira ;PA;1500602
