Ano da pesquisa;Grupo de idade;Filhos tidos nos 12 meses antes do Censo;Município;Sigla UF;Código do Município
2010;15 a 19 anos;57;Alvarães ;AM;1300029
2010;20 a 24 anos;84;Alvarães ;AM;1300029
2010;25 a 29 anos;64;Alvarães ;AM;1300029
2010;30 a 34 anos;31;Alvarães ;AM;1300029
2010;35 a 39 anos;22;Alvarães ;AM;1300029
2010;40 a 44 anos;0;Alvarães ;AM;1300029
2010;45 a 49 anos;0;Alvarães ;AM;1300029
2022;15 a 19 anos;98;Alvarães ;AM;1300029
2022;20 a 24 anos;151;Alvarães ;AM;1300029
2022;25 a 29 anos;68;Alvarães ;AM;1300029
2022;30 a 34 anos;21;Alvarães ;AM;1300029
2022;35 a 39 anos;25;Alvarães ;AM;1300029
2022;40 a 44 anos;18;Alvarães ;AM;1300029
2022;45 a 49 anos;0;Alvarães ;AM;1300029
