Ano da pesquisa;Grupo de idade;Filhos tidos nos 12 meses antes do Censo;Município;Sigla UF;Código do Município
2010;15 a 19 anos;30;Assis Brasil ;AC;1200054
2010;20 a 24 anos;28;Assis Brasil ;AC;1200054
2010;25 a 29 anos;33;Assis Brasil ;AC;1200054
2010;30 a 34 anos;13;Assis Brasil ;AC;1200054
2010;35 a 39 anos;9;Assis Brasil ;AC;1200054
2010;40 a 44 anos;6;Assis Brasil ;AC;1200054
2010;45 a 49 anos;3;Assis Brasil ;AC;1200054
2022;15 a 19 anos;33;Assis Brasil ;AC;1200054
2022;20 a 24 anos;33;Assis Brasil ;AC;1200054
2022;25 a 29 anos;55;Assis Brasil ;AC;1200054
2022;30 a 34 anos;23;Assis Brasil ;AC;1200054
2022;35 a 39 anos;14;Assis Brasil ;AC;1200054
2022;40 a 44 anos;5;Assis Brasil ;AC;1200054
2022;45 a 49 anos;0;Assis Brasil ;AC;1200054
