Ano da pesquisa;Grupo de idade;Filhos tidos nos 12 meses antes do Censo;Município;Sigla UF;Código do Município
2010;15 a 19 anos;193;Augusto Corrêa ;PA;1500909
2010;20 a 24 anos;284;Augusto Corrêa ;PA;1500909
2010;25 a 29 anos;219;Augusto Corrêa ;PA;1500909
2010;30 a 34 anos;51;Augusto Corrêa ;PA;1500909
2010;35 a 39 anos;72;Augusto Corrêa ;PA;1500909
2010;40 a 44 anos;0;Augusto Corrêa ;PA;1500909
2010;45 a 49 anos;0;Augusto Corrêa ;PA;1500909
2022;15 a 19 anos;151;Augusto Corrêa ;PA;1500909
2022;20 a 24 anos;153;Augusto Corrêa ;PA;1500909
2022;25 a 29 anos;169;Augusto Corrêa ;PA;1500909
2022;30 a 34 anos;100;Augusto Corrêa ;PA;1500909
2022;35 a 39 anos;52;Augusto Corrêa ;PA;1500909
2022;40 a 44 anos;20;Augusto Corrêa ;PA;1500909
2022;45 a 49 anos;22;Augusto Corrêa ;PA;1500909
