Ano da pesquisa;Grupo de idade;Filhos tidos nos 12 meses antes do Censo;Município;Sigla UF;Código do Município
2010;15 a 19 anos;84;Bonito ;PA;1501600
2010;20 a 24 anos;79;Bonito ;PA;1501600
2010;25 a 29 anos;65;Bonito ;PA;1501600
2010;30 a 34 anos;20;Bonito ;PA;1501600
2010;35 a 39 anos;6;Bonito ;PA;1501600
2010;40 a 44 anos;0;Bonito ;PA;1501600
2010;45 a 49 anos;0;Bonito ;PA;1501600
2022;15 a 19 anos;25;Bonito ;PA;1501600
2022;20 a 24 anos;45;Bonito ;PA;1501600
2022;25 a 29 anos;43;Bonito ;PA;1501600
2022;30 a 34 anos;39;Bonito ;PA;1501600
2022;35 a 39 anos;34;Bonito ;PA;1501600
2022;40 a 44 anos;6;Bonito ;PA;1501600
2022;45 a 49 anos;0;Bonito ;PA;1501600
