Ano da pesquisa;Grupo de idade;Filhos tidos nos 12 meses antes do Censo;Município;Sigla UF;Código do Município
2010;15 a 19 anos;507;Bragança ;PA;1501709
2010;20 a 24 anos;867;Bragança ;PA;1501709
2010;25 a 29 anos;496;Bragança ;PA;1501709
2010;30 a 34 anos;243;Bragança ;PA;1501709
2010;35 a 39 anos;58;Bragança ;PA;1501709
2010;40 a 44 anos;62;Bragança ;PA;1501709
2010;45 a 49 anos;11;Bragança ;PA;1501709
2022;15 a 19 anos;441;Bragança ;PA;1501709
2022;20 a 24 anos;556;Bragança ;PA;1501709
2022;25 a 29 anos;390;Bragança ;PA;1501709
2022;30 a 34 anos;299;Bragança ;PA;1501709
2022;35 a 39 anos;124;Bragança ;PA;1501709
2022;40 a 44 anos;51;Bragança ;PA;1501709
2022;45 a 49 anos;6;Bragança ;PA;1501709
