Ano da pesquisa;Grupo de idade;Filhos tidos nos 12 meses antes do Censo;Município;Sigla UF;Código do Município
2010;15 a 19 anos;64;Brasil Novo ;PA;1501725
2010;20 a 24 anos;102;Brasil Novo ;PA;1501725
2010;25 a 29 anos;42;Brasil Novo ;PA;1501725
2010;30 a 34 anos;30;Brasil Novo ;PA;1501725
2010;35 a 39 anos;5;Brasil Novo ;PA;1501725
2010;40 a 44 anos;0;Brasil Novo ;PA;1501725
2010;45 a 49 anos;5;Brasil Novo ;PA;1501725
2022;15 a 19 anos;77;Brasil Novo ;PA;1501725
2022;20 a 24 anos;91;Brasil Novo ;PA;1501725
2022;25 a 29 anos;71;Brasil Novo ;PA;1501725
2022;30 a 34 anos;9;Brasil Novo ;PA;1501725
2022;35 a 39 anos;26;Brasil Novo ;PA;1501725
2022;40 a 44 anos;16;Brasil Novo ;PA;1501725
2022;45 a 49 anos;0;Brasil Novo ;PA;1501725
