Ano da pesquisa;Grupo de idade;Filhos tidos nos 12 meses antes do Censo;Município;Sigla UF;Código do Município
2010;15 a 19 anos;141;Brasiléia ;AC;1200104
2010;20 a 24 anos;67;Brasiléia ;AC;1200104
2010;25 a 29 anos;99;Brasiléia ;AC;1200104
2010;30 a 34 anos;58;Brasiléia ;AC;1200104
2010;35 a 39 anos;34;Brasiléia ;AC;1200104
2010;40 a 44 anos;0;Brasiléia ;AC;1200104
2010;45 a 49 anos;0;Brasiléia ;AC;1200104
2022;15 a 19 anos;72;Brasiléia ;AC;1200104
2022;20 a 24 anos;119;Brasiléia ;AC;1200104
2022;25 a 29 anos;105;Brasiléia ;AC;1200104
2022;30 a 34 anos;48;Brasiléia ;AC;1200104
2022;35 a 39 anos;29;Brasiléia ;AC;1200104
2022;40 a 44 anos;12;Brasiléia ;AC;1200104
2022;45 a 49 anos;0;Brasiléia ;AC;1200104
