Ano da pesquisa;Grupo de idade;Filhos tidos nos 12 meses antes do Censo;Município;Sigla UF;Código do Município
2010;15 a 19 anos;52;Bujari ;AC;1200138
2010;20 a 24 anos;34;Bujari ;AC;1200138
2010;25 a 29 anos;35;Bujari ;AC;1200138
2010;30 a 34 anos;29;Bujari ;AC;1200138
2010;35 a 39 anos;7;Bujari ;AC;1200138
2010;40 a 44 anos;5;Bujari ;AC;1200138
2010;45 a 49 anos;0;Bujari ;AC;1200138
2022;15 a 19 anos;39;Bujari ;AC;1200138
2022;20 a 24 anos;76;Bujari ;AC;1200138
2022;25 a 29 anos;59;Bujari ;AC;1200138
2022;30 a 34 anos;47;Bujari ;AC;1200138
2022;35 a 39 anos;16;Bujari ;AC;1200138
2022;40 a 44 anos;15;Bujari ;AC;1200138
2022;45 a 49 anos;0;Bujari ;AC;1200138
