Ano da pesquisa;Grupo de idade;Filhos tidos nos 12 meses antes do Censo;Município;Sigla UF;Código do Município
2010;15 a 19 anos;211;Capanema ;PA;1502202
2010;20 a 24 anos;344;Capanema ;PA;1502202
2010;25 a 29 anos;225;Capanema ;PA;1502202
2010;30 a 34 anos;147;Capanema ;PA;1502202
2010;35 a 39 anos;62;Capanema ;PA;1502202
2010;40 a 44 anos;0;Capanema ;PA;1502202
2010;45 a 49 anos;0;Capanema ;PA;1502202
2022;15 a 19 anos;146;Capanema ;PA;1502202
2022;20 a 24 anos;239;Capanema ;PA;1502202
2022;25 a 29 anos;190;Capanema ;PA;1502202
2022;30 a 34 anos;143;Capanema ;PA;1502202
2022;35 a 39 anos;54;Capanema ;PA;1502202
2022;40 a 44 anos;52;Capanema ;PA;1502202
2022;45 a 49 anos;5;Capanema ;PA;1502202
