Ano da pesquisa;Grupo de idade;Filhos tidos nos 12 meses antes do Censo;Município;Sigla UF;Código do Município
2010;15 a 19 anos;185;Carauari ;AM;1301001
2010;20 a 24 anos;177;Carauari ;AM;1301001
2010;25 a 29 anos;127;Carauari ;AM;1301001
2010;30 a 34 anos;119;Carauari ;AM;1301001
2010;35 a 39 anos;39;Carauari ;AM;1301001
2010;40 a 44 anos;14;Carauari ;AM;1301001
2010;45 a 49 anos;13;Carauari ;AM;1301001
2022;15 a 19 anos;206;Carauari ;AM;1301001
2022;20 a 24 anos;135;Carauari ;AM;1301001
2022;25 a 29 anos;142;Carauari ;AM;1301001
2022;30 a 34 anos;78;Carauari ;AM;1301001
2022;35 a 39 anos;57;Carauari ;AM;1301001
2022;40 a 44 anos;24;Carauari ;AM;1301001
2022;45 a 49 anos;13;Carauari ;AM;1301001
