Ano da pesquisa;Grupo de idade;Filhos tidos nos 12 meses antes do Censo;Município;Sigla UF;Código do Município
2010;15 a 19 anos;212;Curuçá ;PA;1502905
2010;20 a 24 anos;246;Curuçá ;PA;1502905
2010;25 a 29 anos;117;Curuçá ;PA;1502905
2010;30 a 34 anos;30;Curuçá ;PA;1502905
2010;35 a 39 anos;30;Curuçá ;PA;1502905
2010;40 a 44 anos;9;Curuçá ;PA;1502905
2010;45 a 49 anos;0;Curuçá ;PA;1502905
2022;15 a 19 anos;95;Curuçá ;PA;1502905
2022;20 a 24 anos;163;Curuçá ;PA;1502905
2022;25 a 29 anos;167;Curuçá ;PA;1502905
2022;30 a 34 anos;26;Curuçá ;PA;1502905
2022;35 a 39 anos;13;Curuçá ;PA;1502905
2022;40 a 44 anos;23;Curuçá ;PA;1502905
2022;45 a 49 anos;10;Curuçá ;PA;1502905
