Ano da pesquisa;Grupo de idade;Filhos tidos nos 12 meses antes do Censo;Município;Sigla UF;Código do Município
2010;15 a 19 anos;23;Cutias ;AP;1600212
2010;20 a 24 anos;26;Cutias ;AP;1600212
2010;25 a 29 anos;29;Cutias ;AP;1600212
2010;30 a 34 anos;20;Cutias ;AP;1600212
2010;35 a 39 anos;3;Cutias ;AP;1600212
2010;40 a 44 anos;0;Cutias ;AP;1600212
2010;45 a 49 anos;3;Cutias ;AP;1600212
2022;15 a 19 anos;23;Cutias ;AP;1600212
2022;20 a 24 anos;15;Cutias ;AP;1600212
2022;25 a 29 anos;5;Cutias ;AP;1600212
2022;30 a 34 anos;9;Cutias ;AP;1600212
2022;35 a 39 anos;3;Cutias ;AP;1600212
2022;40 a 44 anos;5;Cutias ;AP;1600212
2022;45 a 49 anos;0;Cutias ;AP;1600212
