Ano da pesquisa;Grupo de idade;Filhos tidos nos 12 meses antes do Censo;Município;Sigla UF;Código do Município
2010;15 a 19 anos;74;Envira ;AM;1301506
2010;20 a 24 anos;93;Envira ;AM;1301506
2010;25 a 29 anos;62;Envira ;AM;1301506
2010;30 a 34 anos;64;Envira ;AM;1301506
2010;35 a 39 anos;34;Envira ;AM;1301506
2010;40 a 44 anos;6;Envira ;AM;1301506
2010;45 a 49 anos;6;Envira ;AM;1301506
2022;15 a 19 anos;87;Envira ;AM;1301506
2022;20 a 24 anos;143;Envira ;AM;1301506
2022;25 a 29 anos;68;Envira ;AM;1301506
2022;30 a 34 anos;37;Envira ;AM;1301506
2022;35 a 39 anos;29;Envira ;AM;1301506
2022;40 a 44 anos;11;Envira ;AM;1301506
2022;45 a 49 anos;2;Envira ;AM;1301506
