Ano da pesquisa;Grupo de idade;Filhos tidos nos 12 meses antes do Censo;Município;Sigla UF;Código do Município
2010;15 a 19 anos;94;Guajará ;AM;1301654
2010;20 a 24 anos;130;Guajará ;AM;1301654
2010;25 a 29 anos;78;Guajará ;AM;1301654
2010;30 a 34 anos;37;Guajará ;AM;1301654
2010;35 a 39 anos;41;Guajará ;AM;1301654
2010;40 a 44 anos;17;Guajará ;AM;1301654
2010;45 a 49 anos;0;Guajará ;AM;1301654
2022;15 a 19 anos;48;Guajará ;AM;1301654
2022;20 a 24 anos;91;Guajará ;AM;1301654
2022;25 a 29 anos;53;Guajará ;AM;1301654
2022;30 a 34 anos;47;Guajará ;AM;1301654
2022;35 a 39 anos;33;Guajará ;AM;1301654
2022;40 a 44 anos;30;Guajará ;AM;1301654
2022;45 a 49 anos;0;Guajará ;AM;1301654
