Ano da pesquisa;Grupo de idade;Filhos tidos nos 12 meses antes do Censo;Município;Sigla UF;Código do Município
2010;15 a 19 anos;132;Gurupá ;PA;1503101
2010;20 a 24 anos;225;Gurupá ;PA;1503101
2010;25 a 29 anos;109;Gurupá ;PA;1503101
2010;30 a 34 anos;45;Gurupá ;PA;1503101
2010;35 a 39 anos;24;Gurupá ;PA;1503101
2010;40 a 44 anos;8;Gurupá ;PA;1503101
2010;45 a 49 anos;0;Gurupá ;PA;1503101
2022;15 a 19 anos;158;Gurupá ;PA;1503101
2022;20 a 24 anos;285;Gurupá ;PA;1503101
2022;25 a 29 anos;151;Gurupá ;PA;1503101
2022;30 a 34 anos;121;Gurupá ;PA;1503101
2022;35 a 39 anos;58;Gurupá ;PA;1503101
2022;40 a 44 anos;35;Gurupá ;PA;1503101
2022;45 a 49 anos;1;Gurupá ;PA;1503101
