Ano da pesquisa;Grupo de idade;Filhos tidos nos 12 meses antes do Censo;Município;Sigla UF;Código do Município
2010;15 a 19 anos;113;Ipixuna ;AM;1301803
2010;20 a 24 anos;171;Ipixuna ;AM;1301803
2010;25 a 29 anos;154;Ipixuna ;AM;1301803
2010;30 a 34 anos;112;Ipixuna ;AM;1301803
2010;35 a 39 anos;65;Ipixuna ;AM;1301803
2010;40 a 44 anos;37;Ipixuna ;AM;1301803
2010;45 a 49 anos;5;Ipixuna ;AM;1301803
2022;15 a 19 anos;173;Ipixuna ;AM;1301803
2022;20 a 24 anos;153;Ipixuna ;AM;1301803
2022;25 a 29 anos;110;Ipixuna ;AM;1301803
2022;30 a 34 anos;116;Ipixuna ;AM;1301803
2022;35 a 39 anos;59;Ipixuna ;AM;1301803
2022;40 a 44 anos;38;Ipixuna ;AM;1301803
2022;45 a 49 anos;4;Ipixuna ;AM;1301803
