Ano da pesquisa;Grupo de idade;Filhos tidos nos 12 meses antes do Censo;Município;Sigla UF;Código do Município
2010;15 a 19 anos;33;Itamarati ;AM;1301951
2010;20 a 24 anos;57;Itamarati ;AM;1301951
2010;25 a 29 anos;42;Itamarati ;AM;1301951
2010;30 a 34 anos;21;Itamarati ;AM;1301951
2010;35 a 39 anos;0;Itamarati ;AM;1301951
2010;40 a 44 anos;5;Itamarati ;AM;1301951
2010;45 a 49 anos;0;Itamarati ;AM;1301951
2022;15 a 19 anos;51;Itamarati ;AM;1301951
2022;20 a 24 anos;100;Itamarati ;AM;1301951
2022;25 a 29 anos;49;Itamarati ;AM;1301951
2022;30 a 34 anos;18;Itamarati ;AM;1301951
2022;35 a 39 anos;14;Itamarati ;AM;1301951
2022;40 a 44 anos;16;Itamarati ;AM;1301951
2022;45 a 49 anos;6;Itamarati ;AM;1301951
