Ano da pesquisa;Grupo de idade;Filhos tidos nos 12 meses antes do Censo;Município;Sigla UF;Código do Município
2010;15 a 19 anos;23;Itaubal ;AP;1600253
2010;20 a 24 anos;19;Itaubal ;AP;1600253
2010;25 a 29 anos;18;Itaubal ;AP;1600253
2010;30 a 34 anos;8;Itaubal ;AP;1600253
2010;35 a 39 anos;2;Itaubal ;AP;1600253
2010;40 a 44 anos;7;Itaubal ;AP;1600253
2010;45 a 49 anos;0;Itaubal ;AP;1600253
2022;15 a 19 anos;30;Itaubal ;AP;1600253
2022;20 a 24 anos;28;Itaubal ;AP;1600253
2022;25 a 29 anos;19;Itaubal ;AP;1600253
2022;30 a 34 anos;34;Itaubal ;AP;1600253
2022;35 a 39 anos;20;Itaubal ;AP;1600253
2022;40 a 44 anos;10;Itaubal ;AP;1600253
2022;45 a 49 anos;0;Itaubal ;AP;1600253
