Ano da pesquisa;Grupo de idade;Filhos tidos nos 12 meses antes do Censo;Município;Sigla UF;Código do Município
2010;15 a 19 anos;1606;Macapá ;AP;1600303
2010;20 a 24 anos;2149;Macapá ;AP;1600303
2010;25 a 29 anos;1831;Macapá ;AP;1600303
2010;30 a 34 anos;1317;Macapá ;AP;1600303
2010;35 a 39 anos;784;Macapá ;AP;1600303
2010;40 a 44 anos;156;Macapá ;AP;1600303
2010;45 a 49 anos;19;Macapá ;AP;1600303
2022;15 a 19 anos;1082;Macapá ;AP;1600303
2022;20 a 24 anos;1886;Macapá ;AP;1600303
2022;25 a 29 anos;1451;Macapá ;AP;1600303
2022;30 a 34 anos;1145;Macapá ;AP;1600303
2022;35 a 39 anos;927;Macapá ;AP;1600303
2022;40 a 44 anos;366;Macapá ;AP;1600303
2022;45 a 49 anos;40;Macapá ;AP;1600303
