Ano da pesquisa;Grupo de idade;Filhos tidos nos 12 meses antes do Censo;Município;Sigla UF;Código do Município
2010;15 a 19 anos;47;Magalhães Barata ;PA;1504109
2010;20 a 24 anos;47;Magalhães Barata ;PA;1504109
2010;25 a 29 anos;34;Magalhães Barata ;PA;1504109
2010;30 a 34 anos;15;Magalhães Barata ;PA;1504109
2010;35 a 39 anos;3;Magalhães Barata ;PA;1504109
2010;40 a 44 anos;3;Magalhães Barata ;PA;1504109
2010;45 a 49 anos;0;Magalhães Barata ;PA;1504109
2022;15 a 19 anos;16;Magalhães Barata ;PA;1504109
2022;20 a 24 anos;10;Magalhães Barata ;PA;1504109
2022;25 a 29 anos;29;Magalhães Barata ;PA;1504109
2022;30 a 34 anos;30;Magalhães Barata ;PA;1504109
2022;35 a 39 anos;15;Magalhães Barata ;PA;1504109
2022;40 a 44 anos;0;Magalhães Barata ;PA;1504109
2022;45 a 49 anos;0;Magalhães Barata ;PA;1504109
