Ano da pesquisa;Grupo de idade;Filhos tidos nos 12 meses antes do Censo;Município;Sigla UF;Código do Município
2010;15 a 19 anos;186;Maracanã ;PA;1504307
2010;20 a 24 anos;137;Maracanã ;PA;1504307
2010;25 a 29 anos;79;Maracanã ;PA;1504307
2010;30 a 34 anos;51;Maracanã ;PA;1504307
2010;35 a 39 anos;56;Maracanã ;PA;1504307
2010;40 a 44 anos;8;Maracanã ;PA;1504307
2010;45 a 49 anos;0;Maracanã ;PA;1504307
2022;15 a 19 anos;74;Maracanã ;PA;1504307
2022;20 a 24 anos;93;Maracanã ;PA;1504307
2022;25 a 29 anos;176;Maracanã ;PA;1504307
2022;30 a 34 anos;96;Maracanã ;PA;1504307
2022;35 a 39 anos;56;Maracanã ;PA;1504307
2022;40 a 44 anos;23;Maracanã ;PA;1504307
2022;45 a 49 anos;12;Maracanã ;PA;1504307
