Ano da pesquisa;Grupo de idade;Filhos tidos nos 12 meses antes do Censo;Município;Sigla UF;Código do Município
2010;15 a 19 anos;115;Marapanim ;PA;1504406
2010;20 a 24 anos;130;Marapanim ;PA;1504406
2010;25 a 29 anos;103;Marapanim ;PA;1504406
2010;30 a 34 anos;27;Marapanim ;PA;1504406
2010;35 a 39 anos;38;Marapanim ;PA;1504406
2010;40 a 44 anos;13;Marapanim ;PA;1504406
2010;45 a 49 anos;0;Marapanim ;PA;1504406
2022;15 a 19 anos;74;Marapanim ;PA;1504406
2022;20 a 24 anos;50;Marapanim ;PA;1504406
2022;25 a 29 anos;31;Marapanim ;PA;1504406
2022;30 a 34 anos;72;Marapanim ;PA;1504406
2022;35 a 39 anos;32;Marapanim ;PA;1504406
2022;40 a 44 anos;0;Marapanim ;PA;1504406
2022;45 a 49 anos;0;Marapanim ;PA;1504406
