Ano da pesquisa;Grupo de idade;Filhos tidos nos 12 meses antes do Censo;Município;Sigla UF;Código do Município
2010;15 a 19 anos;124;Medicilândia ;PA;1504455
2010;20 a 24 anos;183;Medicilândia ;PA;1504455
2010;25 a 29 anos;184;Medicilândia ;PA;1504455
2010;30 a 34 anos;36;Medicilândia ;PA;1504455
2010;35 a 39 anos;0;Medicilândia ;PA;1504455
2010;40 a 44 anos;0;Medicilândia ;PA;1504455
2010;45 a 49 anos;0;Medicilândia ;PA;1504455
2022;15 a 19 anos;75;Medicilândia ;PA;1504455
2022;20 a 24 anos;123;Medicilândia ;PA;1504455
2022;25 a 29 anos;116;Medicilândia ;PA;1504455
2022;30 a 34 anos;43;Medicilândia ;PA;1504455
2022;35 a 39 anos;50;Medicilândia ;PA;1504455
2022;40 a 44 anos;0;Medicilândia ;PA;1504455
2022;45 a 49 anos;0;Medicilândia ;PA;1504455
