Ano da pesquisa;Grupo de idade;Filhos tidos nos 12 meses antes do Censo;Município;Sigla UF;Código do Município
2010;15 a 19 anos;182;Melgaço ;PA;1504505
2010;20 a 24 anos;210;Melgaço ;PA;1504505
2010;25 a 29 anos;97;Melgaço ;PA;1504505
2010;30 a 34 anos;95;Melgaço ;PA;1504505
2010;35 a 39 anos;54;Melgaço ;PA;1504505
2010;40 a 44 anos;18;Melgaço ;PA;1504505
2010;45 a 49 anos;0;Melgaço ;PA;1504505
2022;15 a 19 anos;149;Melgaço ;PA;1504505
2022;20 a 24 anos;242;Melgaço ;PA;1504505
2022;25 a 29 anos;134;Melgaço ;PA;1504505
2022;30 a 34 anos;155;Melgaço ;PA;1504505
2022;35 a 39 anos;105;Melgaço ;PA;1504505
2022;40 a 44 anos;11;Melgaço ;PA;1504505
2022;45 a 49 anos;22;Melgaço ;PA;1504505
