Ano da pesquisa;Grupo de idade;Filhos tidos nos 12 meses antes do Censo;Município;Sigla UF;Código do Município
2010;15 a 19 anos;36;Nova Timboteua ;PA;1505007
2010;20 a 24 anos;61;Nova Timboteua ;PA;1505007
2010;25 a 29 anos;47;Nova Timboteua ;PA;1505007
2010;30 a 34 anos;21;Nova Timboteua ;PA;1505007
2010;35 a 39 anos;13;Nova Timboteua ;PA;1505007
2010;40 a 44 anos;0;Nova Timboteua ;PA;1505007
2010;45 a 49 anos;0;Nova Timboteua ;PA;1505007
2022;15 a 19 anos;42;Nova Timboteua ;PA;1505007
2022;20 a 24 anos;30;Nova Timboteua ;PA;1505007
2022;25 a 29 anos;47;Nova Timboteua ;PA;1505007
2022;30 a 34 anos;45;Nova Timboteua ;PA;1505007
2022;35 a 39 anos;4;Nova Timboteua ;PA;1505007
2022;40 a 44 anos;0;Nova Timboteua ;PA;1505007
2022;45 a 49 anos;0;Nova Timboteua ;PA;1505007
