Ano da pesquisa;Grupo de idade;Filhos tidos nos 12 meses antes do Censo;Município;Sigla UF;Código do Município
2010;15 a 19 anos;233;Pacajá ;PA;1505486
2010;20 a 24 anos;294;Pacajá ;PA;1505486
2010;25 a 29 anos;176;Pacajá ;PA;1505486
2010;30 a 34 anos;91;Pacajá ;PA;1505486
2010;35 a 39 anos;11;Pacajá ;PA;1505486
2010;40 a 44 anos;18;Pacajá ;PA;1505486
2010;45 a 49 anos;13;Pacajá ;PA;1505486
2022;15 a 19 anos;78;Pacajá ;PA;1505486
2022;20 a 24 anos;254;Pacajá ;PA;1505486
2022;25 a 29 anos;216;Pacajá ;PA;1505486
2022;30 a 34 anos;109;Pacajá ;PA;1505486
2022;35 a 39 anos;51;Pacajá ;PA;1505486
2022;40 a 44 anos;25;Pacajá ;PA;1505486
2022;45 a 49 anos;0;Pacajá ;PA;1505486
