Ano da pesquisa;Grupo de idade;Filhos tidos nos 12 meses antes do Censo;Município;Sigla UF;Código do Município
2010;15 a 19 anos;51;Plácido de Castro ;AC;1200385
2010;20 a 24 anos;112;Plácido de Castro ;AC;1200385
2010;25 a 29 anos;104;Plácido de Castro ;AC;1200385
2010;30 a 34 anos;42;Plácido de Castro ;AC;1200385
2010;35 a 39 anos;8;Plácido de Castro ;AC;1200385
2010;40 a 44 anos;0;Plácido de Castro ;AC;1200385
2010;45 a 49 anos;0;Plácido de Castro ;AC;1200385
2022;15 a 19 anos;56;Plácido de Castro ;AC;1200385
2022;20 a 24 anos;104;Plácido de Castro ;AC;1200385
2022;25 a 29 anos;49;Plácido de Castro ;AC;1200385
2022;30 a 34 anos;72;Plácido de Castro ;AC;1200385
2022;35 a 39 anos;25;Plácido de Castro ;AC;1200385
2022;40 a 44 anos;15;Plácido de Castro ;AC;1200385
2022;45 a 49 anos;0;Plácido de Castro ;AC;1200385
