Ano da pesquisa;Grupo de idade;Filhos tidos nos 12 meses antes do Censo;Município;Sigla UF;Código do Município
2010;15 a 19 anos;315;Portel ;PA;1505809
2010;20 a 24 anos;452;Portel ;PA;1505809
2010;25 a 29 anos;273;Portel ;PA;1505809
2010;30 a 34 anos;161;Portel ;PA;1505809
2010;35 a 39 anos;99;Portel ;PA;1505809
2010;40 a 44 anos;76;Portel ;PA;1505809
2010;45 a 49 anos;12;Portel ;PA;1505809
2022;15 a 19 anos;275;Portel ;PA;1505809
2022;20 a 24 anos;338;Portel ;PA;1505809
2022;25 a 29 anos;400;Portel ;PA;1505809
2022;30 a 34 anos;148;Portel ;PA;1505809
2022;35 a 39 anos;201;Portel ;PA;1505809
2022;40 a 44 anos;87;Portel ;PA;1505809
2022;45 a 49 anos;28;Portel ;PA;1505809
