Ano da pesquisa;Grupo de idade;Filhos tidos nos 12 meses antes do Censo;Município;Sigla UF;Código do Município
2010;15 a 19 anos;61;Porto Acre ;AC;1200807
2010;20 a 24 anos;97;Porto Acre ;AC;1200807
2010;25 a 29 anos;54;Porto Acre ;AC;1200807
2010;30 a 34 anos;80;Porto Acre ;AC;1200807
2010;35 a 39 anos;19;Porto Acre ;AC;1200807
2010;40 a 44 anos;11;Porto Acre ;AC;1200807
2010;45 a 49 anos;0;Porto Acre ;AC;1200807
2022;15 a 19 anos;59;Porto Acre ;AC;1200807
2022;20 a 24 anos;69;Porto Acre ;AC;1200807
2022;25 a 29 anos;45;Porto Acre ;AC;1200807
2022;30 a 34 anos;49;Porto Acre ;AC;1200807
2022;35 a 39 anos;40;Porto Acre ;AC;1200807
2022;40 a 44 anos;27;Porto Acre ;AC;1200807
2022;45 a 49 anos;0;Porto Acre ;AC;1200807
