Ano da pesquisa;Grupo de idade;Filhos tidos nos 12 meses antes do Censo;Município;Sigla UF;Código do Município
2010;15 a 19 anos;68;Porto Grande ;AP;1600535
2010;20 a 24 anos;113;Porto Grande ;AP;1600535
2010;25 a 29 anos;93;Porto Grande ;AP;1600535
2010;30 a 34 anos;29;Porto Grande ;AP;1600535
2010;35 a 39 anos;30;Porto Grande ;AP;1600535
2010;40 a 44 anos;11;Porto Grande ;AP;1600535
2010;45 a 49 anos;0;Porto Grande ;AP;1600535
2022;15 a 19 anos;75;Porto Grande ;AP;1600535
2022;20 a 24 anos;98;Porto Grande ;AP;1600535
2022;25 a 29 anos;91;Porto Grande ;AP;1600535
2022;30 a 34 anos;33;Porto Grande ;AP;1600535
2022;35 a 39 anos;15;Porto Grande ;AP;1600535
2022;40 a 44 anos;11;Porto Grande ;AP;1600535
2022;45 a 49 anos;0;Porto Grande ;AP;1600535
