Ano da pesquisa;Grupo de idade;Filhos tidos nos 12 meses antes do Censo;Município;Sigla UF;Código do Município
2010;15 a 19 anos;67;Quatipuru ;PA;1506112
2010;20 a 24 anos;43;Quatipuru ;PA;1506112
2010;25 a 29 anos;52;Quatipuru ;PA;1506112
2010;30 a 34 anos;26;Quatipuru ;PA;1506112
2010;35 a 39 anos;16;Quatipuru ;PA;1506112
2010;40 a 44 anos;4;Quatipuru ;PA;1506112
2010;45 a 49 anos;0;Quatipuru ;PA;1506112
2022;15 a 19 anos;26;Quatipuru ;PA;1506112
2022;20 a 24 anos;40;Quatipuru ;PA;1506112
2022;25 a 29 anos;52;Quatipuru ;PA;1506112
2022;30 a 34 anos;42;Quatipuru ;PA;1506112
2022;35 a 39 anos;6;Quatipuru ;PA;1506112
2022;40 a 44 anos;0;Quatipuru ;PA;1506112
2022;45 a 49 anos;0;Quatipuru ;PA;1506112
