Ano da pesquisa;Grupo de idade;Filhos tidos nos 12 meses antes do Censo;Município;Sigla UF;Código do Município
2010;15 a 19 anos;1218;Rio Branco ;AC;1200401
2010;20 a 24 anos;1377;Rio Branco ;AC;1200401
2010;25 a 29 anos;1283;Rio Branco ;AC;1200401
2010;30 a 34 anos;919;Rio Branco ;AC;1200401
2010;35 a 39 anos;400;Rio Branco ;AC;1200401
2010;40 a 44 anos;75;Rio Branco ;AC;1200401
2010;45 a 49 anos;48;Rio Branco ;AC;1200401
2022;15 a 19 anos;584;Rio Branco ;AC;1200401
2022;20 a 24 anos;1017;Rio Branco ;AC;1200401
2022;25 a 29 anos;1293;Rio Branco ;AC;1200401
2022;30 a 34 anos;886;Rio Branco ;AC;1200401
2022;35 a 39 anos;779;Rio Branco ;AC;1200401
2022;40 a 44 anos;245;Rio Branco ;AC;1200401
2022;45 a 49 anos;11;Rio Branco ;AC;1200401
