Ano da pesquisa;Grupo de idade;Filhos tidos nos 12 meses antes do Censo;Município;Sigla UF;Código do Município
2010;15 a 19 anos;258;Salinópolis ;PA;1506203
2010;20 a 24 anos;301;Salinópolis ;PA;1506203
2010;25 a 29 anos;148;Salinópolis ;PA;1506203
2010;30 a 34 anos;7;Salinópolis ;PA;1506203
2010;35 a 39 anos;20;Salinópolis ;PA;1506203
2010;40 a 44 anos;0;Salinópolis ;PA;1506203
2010;45 a 49 anos;0;Salinópolis ;PA;1506203
2022;15 a 19 anos;96;Salinópolis ;PA;1506203
2022;20 a 24 anos;215;Salinópolis ;PA;1506203
2022;25 a 29 anos;187;Salinópolis ;PA;1506203
2022;30 a 34 anos;55;Salinópolis ;PA;1506203
2022;35 a 39 anos;91;Salinópolis ;PA;1506203
2022;40 a 44 anos;25;Salinópolis ;PA;1506203
2022;45 a 49 anos;12;Salinópolis ;PA;1506203
