Ano da pesquisa;Grupo de idade;Filhos tidos nos 12 meses antes do Censo;Município;Sigla UF;Código do Município
2010;15 a 19 anos;116;Santa Maria do Pará ;PA;1506609
2010;20 a 24 anos;97;Santa Maria do Pará ;PA;1506609
2010;25 a 29 anos;146;Santa Maria do Pará ;PA;1506609
2010;30 a 34 anos;44;Santa Maria do Pará ;PA;1506609
2010;35 a 39 anos;0;Santa Maria do Pará ;PA;1506609
2010;40 a 44 anos;18;Santa Maria do Pará ;PA;1506609
2010;45 a 49 anos;7;Santa Maria do Pará ;PA;1506609
2022;15 a 19 anos;35;Santa Maria do Pará ;PA;1506609
2022;20 a 24 anos;97;Santa Maria do Pará ;PA;1506609
2022;25 a 29 anos;85;Santa Maria do Pará ;PA;1506609
2022;30 a 34 anos;32;Santa Maria do Pará ;PA;1506609
2022;35 a 39 anos;39;Santa Maria do Pará ;PA;1506609
2022;40 a 44 anos;0;Santa Maria do Pará ;PA;1506609
2022;45 a 49 anos;7;Santa Maria do Pará ;PA;1506609
