Ano da pesquisa;Grupo de idade;Filhos tidos nos 12 meses antes do Censo;Município;Sigla UF;Código do Município
2010;15 a 19 anos;341;Santana ;AP;1600600
2010;20 a 24 anos;636;Santana ;AP;1600600
2010;25 a 29 anos;501;Santana ;AP;1600600
2010;30 a 34 anos;197;Santana ;AP;1600600
2010;35 a 39 anos;114;Santana ;AP;1600600
2010;40 a 44 anos;27;Santana ;AP;1600600
2010;45 a 49 anos;22;Santana ;AP;1600600
2022;15 a 19 anos;303;Santana ;AP;1600600
2022;20 a 24 anos;425;Santana ;AP;1600600
2022;25 a 29 anos;355;Santana ;AP;1600600
2022;30 a 34 anos;333;Santana ;AP;1600600
2022;35 a 39 anos;216;Santana ;AP;1600600
2022;40 a 44 anos;68;Santana ;AP;1600600
2022;45 a 49 anos;14;Santana ;AP;1600600
