Ano da pesquisa;Grupo de idade;Filhos tidos nos 12 meses antes do Censo;Município;Sigla UF;Código do Município
2010;15 a 19 anos;20;Santarém Novo ;PA;1506906
2010;20 a 24 anos;61;Santarém Novo ;PA;1506906
2010;25 a 29 anos;30;Santarém Novo ;PA;1506906
2010;30 a 34 anos;6;Santarém Novo ;PA;1506906
2010;35 a 39 anos;11;Santarém Novo ;PA;1506906
2010;40 a 44 anos;2;Santarém Novo ;PA;1506906
2010;45 a 49 anos;0;Santarém Novo ;PA;1506906
2022;15 a 19 anos;14;Santarém Novo ;PA;1506906
2022;20 a 24 anos;36;Santarém Novo ;PA;1506906
2022;25 a 29 anos;33;Santarém Novo ;PA;1506906
2022;30 a 34 anos;9;Santarém Novo ;PA;1506906
2022;35 a 39 anos;7;Santarém Novo ;PA;1506906
2022;40 a 44 anos;0;Santarém Novo ;PA;1506906
2022;45 a 49 anos;4;Santarém Novo ;PA;1506906
