Ano da pesquisa;Grupo de idade;Filhos tidos nos 12 meses antes do Censo;Município;Sigla UF;Código do Município
2010;15 a 19 anos;58;Senador José Porfírio ;PA;1507805
2010;20 a 24 anos;78;Senador José Porfírio ;PA;1507805
2010;25 a 29 anos;42;Senador José Porfírio ;PA;1507805
2010;30 a 34 anos;15;Senador José Porfírio ;PA;1507805
2010;35 a 39 anos;7;Senador José Porfírio ;PA;1507805
2010;40 a 44 anos;6;Senador José Porfírio ;PA;1507805
2010;45 a 49 anos;0;Senador José Porfírio ;PA;1507805
2022;15 a 19 anos;111;Senador José Porfírio ;PA;1507805
2022;20 a 24 anos;131;Senador José Porfírio ;PA;1507805
2022;25 a 29 anos;95;Senador José Porfírio ;PA;1507805
2022;30 a 34 anos;32;Senador José Porfírio ;PA;1507805
2022;35 a 39 anos;24;Senador José Porfírio ;PA;1507805
2022;40 a 44 anos;13;Senador José Porfírio ;PA;1507805
2022;45 a 49 anos;4;Senador José Porfírio ;PA;1507805
