Ano da pesquisa;Grupo de idade;Filhos tidos nos 12 meses antes do Censo;Município;Sigla UF;Código do Município
2010;15 a 19 anos;16;Serra do Navio ;AP;1600055
2010;20 a 24 anos;21;Serra do Navio ;AP;1600055
2010;25 a 29 anos;16;Serra do Navio ;AP;1600055
2010;30 a 34 anos;19;Serra do Navio ;AP;1600055
2010;35 a 39 anos;18;Serra do Navio ;AP;1600055
2010;40 a 44 anos;4;Serra do Navio ;AP;1600055
2010;45 a 49 anos;0;Serra do Navio ;AP;1600055
2022;15 a 19 anos;19;Serra do Navio ;AP;1600055
2022;20 a 24 anos;12;Serra do Navio ;AP;1600055
2022;25 a 29 anos;10;Serra do Navio ;AP;1600055
2022;30 a 34 anos;11;Serra do Navio ;AP;1600055
2022;35 a 39 anos;8;Serra do Navio ;AP;1600055
2022;40 a 44 anos;6;Serra do Navio ;AP;1600055
2022;45 a 49 anos;0;Serra do Navio ;AP;1600055
