Ano da pesquisa;Grupo de idade;Filhos tidos nos 12 meses antes do Censo;Município;Sigla UF;Código do Município
2010;15 a 19 anos;75;São Caetano de Odivelas ;PA;1507102
2010;20 a 24 anos;106;São Caetano de Odivelas ;PA;1507102
2010;25 a 29 anos;41;São Caetano de Odivelas ;PA;1507102
2010;30 a 34 anos;33;São Caetano de Odivelas ;PA;1507102
2010;35 a 39 anos;13;São Caetano de Odivelas ;PA;1507102
2010;40 a 44 anos;6;São Caetano de Odivelas ;PA;1507102
2010;45 a 49 anos;0;São Caetano de Odivelas ;PA;1507102
2022;15 a 19 anos;43;São Caetano de Odivelas ;PA;1507102
2022;20 a 24 anos;67;São Caetano de Odivelas ;PA;1507102
2022;25 a 29 anos;69;São Caetano de Odivelas ;PA;1507102
2022;30 a 34 anos;16;São Caetano de Odivelas ;PA;1507102
2022;35 a 39 anos;23;São Caetano de Odivelas ;PA;1507102
2022;40 a 44 anos;0;São Caetano de Odivelas ;PA;1507102
2022;45 a 49 anos;0;São Caetano de Odivelas ;PA;1507102
