Ano da pesquisa;Grupo de idade;Filhos tidos nos 12 meses antes do Censo;Município;Sigla UF;Código do Município
2010;15 a 19 anos;40;São Francisco do Pará ;PA;1507409
2010;20 a 24 anos;104;São Francisco do Pará ;PA;1507409
2010;25 a 29 anos;59;São Francisco do Pará ;PA;1507409
2010;30 a 34 anos;30;São Francisco do Pará ;PA;1507409
2010;35 a 39 anos;10;São Francisco do Pará ;PA;1507409
2010;40 a 44 anos;0;São Francisco do Pará ;PA;1507409
2010;45 a 49 anos;0;São Francisco do Pará ;PA;1507409
2022;15 a 19 anos;45;São Francisco do Pará ;PA;1507409
2022;20 a 24 anos;55;São Francisco do Pará ;PA;1507409
2022;25 a 29 anos;68;São Francisco do Pará ;PA;1507409
2022;30 a 34 anos;24;São Francisco do Pará ;PA;1507409
2022;35 a 39 anos;21;São Francisco do Pará ;PA;1507409
2022;40 a 44 anos;11;São Francisco do Pará ;PA;1507409
2022;45 a 49 anos;4;São Francisco do Pará ;PA;1507409
