Ano da pesquisa;Grupo de idade;Filhos tidos nos 12 meses antes do Censo;Município;Sigla UF;Código do Município
2010;15 a 19 anos;9;São João da Ponta ;PA;1507466
2010;20 a 24 anos;35;São João da Ponta ;PA;1507466
2010;25 a 29 anos;20;São João da Ponta ;PA;1507466
2010;30 a 34 anos;7;São João da Ponta ;PA;1507466
2010;35 a 39 anos;11;São João da Ponta ;PA;1507466
2010;40 a 44 anos;5;São João da Ponta ;PA;1507466
2010;45 a 49 anos;0;São João da Ponta ;PA;1507466
2022;15 a 19 anos;12;São João da Ponta ;PA;1507466
2022;20 a 24 anos;7;São João da Ponta ;PA;1507466
2022;25 a 29 anos;17;São João da Ponta ;PA;1507466
2022;30 a 34 anos;13;São João da Ponta ;PA;1507466
2022;35 a 39 anos;0;São João da Ponta ;PA;1507466
2022;40 a 44 anos;2;São João da Ponta ;PA;1507466
2022;45 a 49 anos;0;São João da Ponta ;PA;1507466
