Ano da pesquisa;Grupo de idade;Filhos tidos nos 12 meses antes do Censo;Município;Sigla UF;Código do Município
2010;15 a 19 anos;141;São João de Pirabas ;PA;1507474
2010;20 a 24 anos;115;São João de Pirabas ;PA;1507474
2010;25 a 29 anos;63;São João de Pirabas ;PA;1507474
2010;30 a 34 anos;55;São João de Pirabas ;PA;1507474
2010;35 a 39 anos;10;São João de Pirabas ;PA;1507474
2010;40 a 44 anos;10;São João de Pirabas ;PA;1507474
2010;45 a 49 anos;0;São João de Pirabas ;PA;1507474
2022;15 a 19 anos;46;São João de Pirabas ;PA;1507474
2022;20 a 24 anos;92;São João de Pirabas ;PA;1507474
2022;25 a 29 anos;68;São João de Pirabas ;PA;1507474
2022;30 a 34 anos;52;São João de Pirabas ;PA;1507474
2022;35 a 39 anos;36;São João de Pirabas ;PA;1507474
2022;40 a 44 anos;0;São João de Pirabas ;PA;1507474
2022;45 a 49 anos;0;São João de Pirabas ;PA;1507474
