Ano da pesquisa;Grupo de idade;Filhos tidos nos 12 meses antes do Censo;Município;Sigla UF;Código do Município
2010;15 a 19 anos;435;Tefé ;AM;1304203
2010;20 a 24 anos;563;Tefé ;AM;1304203
2010;25 a 29 anos;321;Tefé ;AM;1304203
2010;30 a 34 anos;252;Tefé ;AM;1304203
2010;35 a 39 anos;43;Tefé ;AM;1304203
2010;40 a 44 anos;10;Tefé ;AM;1304203
2010;45 a 49 anos;10;Tefé ;AM;1304203
2022;15 a 19 anos;374;Tefé ;AM;1304203
2022;20 a 24 anos;545;Tefé ;AM;1304203
2022;25 a 29 anos;376;Tefé ;AM;1304203
2022;30 a 34 anos;180;Tefé ;AM;1304203
2022;35 a 39 anos;122;Tefé ;AM;1304203
2022;40 a 44 anos;44;Tefé ;AM;1304203
2022;45 a 49 anos;0;Tefé ;AM;1304203
