Ano da pesquisa;Grupo de idade;Filhos tidos nos 12 meses antes do Censo;Município;Sigla UF;Código do Município
2010;15 a 19 anos;52;Terra Alta ;PA;1507961
2010;20 a 24 anos;46;Terra Alta ;PA;1507961
2010;25 a 29 anos;40;Terra Alta ;PA;1507961
2010;30 a 34 anos;22;Terra Alta ;PA;1507961
2010;35 a 39 anos;13;Terra Alta ;PA;1507961
2010;40 a 44 anos;0;Terra Alta ;PA;1507961
2010;45 a 49 anos;0;Terra Alta ;PA;1507961
2022;15 a 19 anos;59;Terra Alta ;PA;1507961
2022;20 a 24 anos;49;Terra Alta ;PA;1507961
2022;25 a 29 anos;40;Terra Alta ;PA;1507961
2022;30 a 34 anos;22;Terra Alta ;PA;1507961
2022;35 a 39 anos;18;Terra Alta ;PA;1507961
2022;40 a 44 anos;6;Terra Alta ;PA;1507961
2022;45 a 49 anos;0;Terra Alta ;PA;1507961
