Ano da pesquisa;Grupo de idade;Filhos tidos nos 12 meses antes do Censo;Município;Sigla UF;Código do Município
2010;15 a 19 anos;176;Tracuateua ;PA;1508035
2010;20 a 24 anos;267;Tracuateua ;PA;1508035
2010;25 a 29 anos;98;Tracuateua ;PA;1508035
2010;30 a 34 anos;43;Tracuateua ;PA;1508035
2010;35 a 39 anos;25;Tracuateua ;PA;1508035
2010;40 a 44 anos;0;Tracuateua ;PA;1508035
2010;45 a 49 anos;0;Tracuateua ;PA;1508035
2022;15 a 19 anos;56;Tracuateua ;PA;1508035
2022;20 a 24 anos;71;Tracuateua ;PA;1508035
2022;25 a 29 anos;138;Tracuateua ;PA;1508035
2022;30 a 34 anos;65;Tracuateua ;PA;1508035
2022;35 a 39 anos;33;Tracuateua ;PA;1508035
2022;40 a 44 anos;10;Tracuateua ;PA;1508035
2022;45 a 49 anos;6;Tracuateua ;PA;1508035
